stem,answer,choice,prefix,prediction,accuracy
['vulnerable' 'hurt'],0,"[['fluid', 'changed'], ['vague', 'truncated'], ['virtuous', 'bribed'], ['witty', 'amused'], ['divergent', 'exploited']]",0,0,True
['brazen' 'shame'],3,"[['comprehensive', 'total'], ['inquisitive', 'curiosity'], ['moral', 'integrity'], ['oblivious', 'awareness'], ['witty', 'levity']]",0,1,False
['mundane' 'novel'],0,"[['rate', 'prevalent'], ['essential', 'imperative'], ['sealed', 'hermetic'], ['spontaneous', 'combustive'], ['judicious', 'minimal']]",0,0,True
['malinger' 'work'],2,"[['escape', 'flight'], ['accuse', 'crime'], ['hide', 'discovery'], ['shun', 'ridicule'], ['guess', 'answer']]",0,0,False
['void' 'empty'],1,"[['glut', 'prosperous'], ['system', 'organized'], ['answer', 'questioning'], ['ration', 'scarce'], ['intent', 'clear']]",0,2,False
['best' 'seller'],4,"[['anthology', 'poem'], ['rave', 'critic'], ['collector', 'painting'], ['performance', 'play'], ['hit', 'song']]",0,0,False
['portfolio' 'documents'],0,"[['album', 'photographs'], ['government', 'policies'], ['drama', 'acts'], ['excavation', 'artifacts'], ['rhythm', 'drums']]",0,0,True
['index' 'topics'],2,"[['agenda', 'meeting'], ['diary', 'secrets'], ['roster', 'names'], ['manual', 'equipment'], ['ledger', 'numbers']]",0,2,True
['manager' 'store'],2,"[['technician', 'laboratory'], ['student', 'school'], ['administrator', 'hospital'], ['spectator', 'arena'], ['president', 'electorate']]",0,2,True
['yearn' 'longing'],2,"[['beware', 'danger'], ['rush', 'patience'], ['enjoy', 'pleasure'], ['suppress', 'rage'], ['sleep', 'insomnia']]",0,4,False
['audible' 'blaring'],1,"[['silent', 'loud'], ['annoying', 'obnoxious'], ['clear', 'ostentatious'], ['legible', 'published'], ['edible', 'poisonous']]",0,3,False
['legend' 'map'],3,"[['subtitle', 'translation'], ['bar', 'graph'], ['figure', 'blueprint'], ['key', 'chart'], ['footnote', 'information']]",0,2,False
['evade' 'straightforward'],3,"[['leave', 'inviting'], ['enliven', 'animated'], ['flatten', 'smooth'], ['boast', 'modest'], ['assist', 'helpful']]",0,0,False
['recuperate' 'surgery'],3,"[['restore', 'furniture'], ['cleanse', 'alcohol'], ['cure', 'illness'], ['revive', 'faint'], ['hospitalize', 'patient']]",0,0,False
['abridge' 'novel'],4,"[['interrupt', 'conversation'], ['rehearse', 'play'], ['terminate', 'ending'], ['punctuate', 'sentence'], ['abbreviate', 'word']]",0,2,False
['carping' 'criticize'],1,"[['vain', 'admire'], ['obliging', 'help'], ['retiring', 'boast'], ['jealous', 'possess'], ['wary', 'surprise']]",0,4,False
['immaculate' 'clean'],0,"[['enormous', 'large'], ['superficial', 'careful'], ['tiresome', 'bored'], ['precious', 'greedy'], ['obvious', 'deceptive']]",0,0,True
['bungler' 'finesse'],2,"[['athlete', 'prowess'], ['thief', 'felony'], ['gossip', 'reserve'], ['preacher', 'oratory'], ['gourmet', 'cuisine']]",0,1,False
['testimony' 'witness'],2,"[['leadership', 'follower'], ['proof', 'theorist'], ['expertise', 'authority'], ['contradiction', 'investigator'], ['confiscation', 'official']]",0,1,False
['drapery' 'fabric'],4,"[['fireplace', 'wood'], ['curtain', 'stage'], ['shutter', 'light'], ['sieve', 'liquid'], ['window', 'glass']]",0,4,True
['defend' 'untenable'],2,"[['escape', 'unfettered'], ['judge', 'punitive'], ['modify', 'invariable'], ['flourish', 'vigorous'], ['protect', 'dangerous']]",0,2,True
['walk' 'scurry'],4,"[['march', 'follow'], ['carouse', 'revel'], ['nap', 'sleep'], ['impress', 'notice'], ['jog', 'sprint']]",0,2,False
['avenge' 'wrong'],0,"[['reciprocate', 'favor'], ['compete', 'contest'], ['ponder', 'decision'], ['relegate', 'position'], ['decree', 'religion']]",0,4,False
['precarious' 'stability'],2,"[['cantankerous', 'testiness'], ['ornamental', 'flourishes'], ['susceptible', 'resistance'], ['flexible', 'strength'], ['conclusive', 'results']]",0,2,True
['querulous' 'complain'],3,"[['silent', 'talk'], ['humorous', 'laugh'], ['dangerous', 'risk'], ['deceitful', 'cheat'], ['gracious', 'accept']]",0,2,False
['animosity' 'hatred'],1,"[['carnal', 'active'], ['genial', 'amiable'], ['insomnia', 'sleepy'], ['pacify', 'peace'], ['liveliness', 'careful']]",0,2,False
['scissors' 'cut'],1,"[['window', 'close'], ['spice', 'season'], ['cloth', 'weave'], ['mask', 'frighten'], ['country', 'vote']]",0,3,False
['exorbitant' 'moderation'],2,"[['dispassionate', 'equanimity'], ['macabre', 'interest'], ['perfidious', 'loyalty'], ['brilliant', 'gullibility'], ['lavish', 'extravagance']]",0,1,False
['submit' 'subordinate'],2,"[['loud', 'cacophony'], ['rebel', 'solitude'], ['secede', 'autonomous'], ['inferior', 'dominant'], ['no', 'choice']]",0,4,False
['ruler' 'line'],3,"[['stamp', 'letter'], ['period', 'dot'], ['key', 'door'], ['compass', 'circle'], ['thermometer', 'degree']]",0,2,False
['audience' 'theater'],3,"[['crew', 'ship'], ['scholars', 'library'], ['group', 'society'], ['spectators', 'arena'], ['actors', 'stage']]",0,0,False
['caption' 'cartoon'],2,"[['byline', 'newspaper'], ['laughter', 'comedy'], ['subtitle', 'film'], ['translation', 'paraphrase'], ['billboard', 'road']]",0,2,True
['scapegoat' 'blame'],4,"[['ingrate', 'gratitude'], ['apprentice', 'skill'], ['trickster', 'honesty'], ['truant', 'education'], ['effigy', 'hatred']]",0,3,False
['topic' 'discourse'],3,"[['title', 'play'], ['subject', 'digression'], ['guideline', 'policy'], ['theme', 'essay'], ['footnote', 'text']]",0,0,False
