stem,answer,choice,prefix,prediction,accuracy
['Korean Air' 'Seoul'],0,"[['Cathay Pacific', 'Hong Kong'], ['Hong Kong', 'Cathay Pacific'], ['joint resolution', 'United States Congress'], ['joint resolution', 'Congress'], ['Pahonia', 'Lithuania'], ['harp', 'Ireland'], ['main asteroid belt', 'Solar System'], ['DNA', 'genome'], ['Kermit', 'greenness'], ['Manchester United', 'red'], ['Apple II', 'Apple'], ['PlayStation 2', 'Sony'], ['Agartala', 'Tripura'], ['Amman', 'Jordan'], ['Poland', 'Europe'], ['Poland', 'European Union'], ['German invasion', '22 June 1941'], ['Operation Barbarossa', '22 June 1941'], ['Brazil', 'Catholic Church'], ['Turkey', 'Islam'], ['Diet', 'Japan'], ['Parliament', 'Sri Lanka'], ['Royal Flying Corps', 'Royal Air Force'], ['Russia', 'Soviet Union'], ['American', 'English'], ['Belarus', 'Russian'], ['EPL', 'Open Source Initiative'], ['GNU General Public License', 'Open Source Initiative'], ['Yankee Stadium', 'Yankees'], ['Wrigley Field', 'Cubs'], ['The Godfather', 'Francis Ford Coppola'], ['She Hate Me', 'Spike Lee'], ['Doctor Who', 'Tom Baker'], ['Doctor Who', 'Patrick Troughton'], ['Joseph Stalin', 'Communist Party'], ['Mao Zedong', 'Communist Party'], ['Israel', 'Isaac'], ['Meg', 'Peter'], ['Elizabeth II', 'Canada'], ['Umberto I', 'Italy'], ['Brahms', 'pianist'], ['Beethoven', 'piano'], ['Brookside', 'Channel 4'], ['The Real McCoys', 'ABC'], ['Springer Mountain', 'Appalachian Trail'], ['Busan', 'Gyeongbu Line'], ['CT', 'Canada'], ['Central Time Zone', 'Mexico']]",[Airline] has a hub in [Location],0,True
['Korean Air' 'Seoul'],0,"[['Dragonair', 'Hong Kong'], ['Hong Kong', 'Dragonair'], ['joint resolution', 'Congress'], ['joint resolution', 'United States Congress'], ['trident', 'Ukraine'], ['Great Seal', 'United States'], ['Colorado Desert', 'Sonoran Desert'], ['main asteroid belt', 'Solar System'], ['Ruby', 'red'], ['Manchester United', 'red'], ['PlayStation 2', 'Sony'], ['Apple III', 'Apple'], ['Baku', 'Azerbaijan'], ['Accra', 'Ghana'], ['Poland', 'Europe'], ['Poland', 'United Nations'], ['Operation Barbarossa', '22 June 1941'], ['German invasion', '22 June 1941'], ['Turkey', 'Islam'], ['England', 'Roman Catholic'], ['Diet', 'Japan'], ['Riksdag', 'Sweden'], ['Ukrainian SSR', 'Soviet Union'], ['Russia', 'Soviet Union'], ['American', 'English'], ['Russia', 'Russian'], ['zlib license', 'Open Source Initiative'], ['EPL', 'Open Source Initiative'], ['Wrigley Field', 'Chicago Cubs'], ['Wrigley Field', 'Cubs'], ['Rocky', 'Sylvester Stallone'], ['The Godfather', 'Francis Ford Coppola'], ['Doctor Who', 'Tom Baker'], ['Doctor Who', 'Patrick Troughton'], ['Nehru', 'Indian National Congress'], ['Putin', 'Communist Party'], ['Meg', 'Peter'], ['Israel', 'Isaac'], ['Victor Emmanuel II', 'Italy'], ['Umberto I', 'Italy'], ['Beethoven', 'piano'], ['Brahms', 'pianist'], ['The Real McCoys', 'ABC'], ['Brookside', 'Channel 4'], ['Busan', 'Gyeongbu Line'], ['Springer Mountain', 'Appalachian Trail'], ['CT', 'Canada'], ['CT', 'American']]",[Airline] has a hub in [Location],0,True
['Korean Air' 'Seoul'],0,"[['Qantas', 'Singapore'], ['Singapore', 'Qantas'], ['joint resolution', 'Congress'], ['joint resolution', 'United States Congress'], ['harp', 'Ireland'], ['Plantagenet', 'England'], ['Colorado Desert', 'Sonoran Desert'], ['DNA', 'genome'], ['Liberal Party', 'red'], ['Kermit', 'greenness'], ['Apple II', 'Apple'], ['Apple III', 'Apple'], ['Baku', 'Azerbaijan'], ['Amman', 'Jordan'], ['Poland', 'Europe'], ['Poland', 'NATO'], ['German invasion', '22 June 1941'], ['Operation Barbarossa', '22 June 1941'], ['Finland', 'Evangelical Lutheran Church'], ['Turkey', 'Islam'], ['Majlis', 'Iran'], ['Riksdag', 'Sweden'], ['Ukrainian SSR', 'Soviet Union'], ['Canadian Army', 'Canadian Forces'], ['American', 'English'], ['Kerala', 'Malayalam'], ['GNU General Public License', 'Open Source Initiative'], ['EPL', 'Open Source Initiative'], ['Wrigley Field', 'Cubs'], ['Wrigley Field', 'Chicago Cubs'], ['The Godfather', 'Francis Ford Coppola'], ['Raajneeti', 'Prakash Jha'], ['Doctor Who', 'Patrick Troughton'], ['Doctor Who', 'Tom Baker'], ['Joseph Stalin', 'Communist Party'], ['Washington', 'Federalist Party'], ['Israel', 'Isaac'], ['Meg', 'Peter'], ['Umberto I', 'Italy'], ['Elizabeth II', 'Canada'], ['Beethoven', 'piano'], ['Nicky Hopkins', 'pianist'], ['The Real McCoys', 'CBS'], ['The Real McCoys', 'ABC'], ['Seoul', 'Gyeongbu Line'], ['Busan', 'Gyeongbu Line'], ['central time zone', 'Indiana'], ['Central Time Zone', 'United States']]",[Airline] has a hub in [Location],0,True
['Korean Air' 'Seoul'],0,"[['Singapore Airlines', 'Singapore'], ['Singapore', 'Singapore Airlines'], ['joint resolution', 'Congress'], ['joint resolution', 'United States Congress'], ['trident', 'Ukraine'], ['Plantagenet', 'England'], ['DNA', 'genome'], ['main asteroid belt', 'Solar System'], ['Manchester United', 'red'], ['Kermit', 'greenness'], ['Apple II', 'Apple'], ['PlayStation 2', 'Sony Computer Entertainment'], ['Amman', 'Jordan'], ['Makassar', 'South Sulawesi'], ['Poland', 'Europe'], ['Poland', 'NATO'], ['Operation Barbarossa', '22 June 1941'], ['German invasion', '22 June 1941'], ['Iraq', 'Islam'], ['Brazil', 'Catholic Church'], ['Knesset', 'Israel'], ['Majlis', 'Iran'], ['Royal Flying Corps', 'Royal Air Force'], ['Canadian Army', 'Canadian Forces'], ['Belarus', 'Russian'], ['Russia', 'Russian'], ['GNU General Public License', 'Open Source Initiative'], ['EPL', 'Open Source Initiative'], ['Wrigley Field', 'Cubs'], ['Yankee Stadium', 'Yankees'], ['Rocky', 'Sylvester Stallone'], ['Raajneeti', 'Prakash Jha'], ['Doctor Who', 'Patrick Troughton'], ['Doctor Who', 'Tom Baker'], ['Joseph Stalin', 'Communist Party'], ['Nehru', 'Indian National Congress'], ['Meg', 'Peter'], ['Israel', 'Isaac'], ['Umberto I', 'Italy'], ['Elizabeth II', 'Canada'], ['Nicky Hopkins', 'pianist'], ['Brahms', 'pianist'], ['The Real McCoys', 'ABC'], ['Brookside', 'Channel 4'], ['Springer Mountain', 'Appalachian Trail'], ['Busan', 'Gyeongbu Line'], ['CT', 'United States'], ['Central Time Zone', 'American']]",[Airline] has a hub in [Location],0,True
['Asiana Airlines' 'Seoul'],0,"[['Cathay Pacific', 'Hong Kong'], ['Hong Kong', 'Cathay Pacific'], ['joint resolution', 'Congress'], ['joint resolution', 'United States Congress'], ['trident', 'Ukraine'], ['Great Seal', 'United States'], ['DNA', 'genome'], ['Colorado Desert', 'Sonoran Desert'], ['Kermit', 'greenness'], ['Ruby', 'red'], ['Macintosh', 'Apple'], ['Apple II', 'Apple'], ['Amman', 'Jordan'], ['Agartala', 'Tripura'], ['Poland', 'European Union'], ['Poland', 'Europe'], ['Operation Barbarossa', '22 June 1941'], ['German invasion', '22 June 1941'], ['Brazil', 'Catholic Church'], ['Finland', 'Evangelical Lutheran Church'], ['Knesset', 'Israel'], ['Diet', 'Japan'], ['Canadian Army', 'Canadian Forces'], ['Ukrainian SSR', 'Soviet Union'], ['Kerala', 'Malayalam'], ['American', 'English'], ['EPL', 'Open Source Initiative'], ['GNU General Public License', 'Open Source Initiative'], ['Yankee Stadium', 'Yankees'], ['Wrigley Field', 'Chicago Cubs'], ['The Godfather', 'Francis Ford Coppola'], ['Citizen Kane', 'Orson Welles'], ['Doctor Who', 'Tom Baker'], ['Doctor Who', 'Patrick Troughton'], ['Nehru', 'Indian National Congress'], ['Putin', 'Communist Party'], ['Israel', 'Isaac'], ['Meg', 'Peter'], ['Victor Emmanuel II', 'Italy'], ['Elizabeth II', 'Canada'], ['Beethoven', 'piano'], ['McCartney', 'piano'], ['The Real McCoys', 'ABC'], ['Brookside', 'Channel 4'], ['Springer Mountain', 'Appalachian Trail'], ['Seoul', 'Gyeongbu Line'], ['CT', 'American'], ['CT', 'United States']]",[Airline] has a hub in [Location],0,True
['Asiana Airlines' 'Seoul'],0,"[['Dragonair', 'Hong Kong'], ['Hong Kong', 'Dragonair'], ['joint resolution', 'United States Congress'], ['joint resolution', 'Congress'], ['Plantagenet', 'England'], ['harp', 'Ireland'], ['main asteroid belt', 'Solar System'], ['DNA', 'genome'], ['Liberal Party', 'red'], ['Kermit', 'greenness'], ['PlayStation 2', 'Sony Computer Entertainment'], ['PlayStation 2', 'Sony'], ['Accra', 'Ghana'], ['Makassar', 'South Sulawesi'], ['Poland', 'Europe'], ['Poland', 'European Union'], ['Operation Barbarossa', '22 June 1941'], ['German invasion', '22 June 1941'], ['Afghanistan', 'Islam'], ['Turkey', 'Islam'], ['Diet', 'Japan'], ['Knesset', 'Israel'], ['Canadian Army', 'Canadian Forces'], ['Russia', 'Soviet Union'], ['Russia', 'Russian'], ['Ukraine', 'Russian'], ['zlib license', 'Open Source Initiative'], ['GNU General Public License', 'Open Source Initiative'], ['Yankee Stadium', 'Yankees'], ['Wrigley Field', 'Chicago Cubs'], ['Citizen Kane', 'Orson Welles'], ['Raajneeti', 'Prakash Jha'], ['Doctor Who', 'Tom Baker'], ['Doctor Who', 'Patrick Troughton'], ['Nehru', 'Indian National Congress'], ['Washington', 'Federalist Party'], ['Meg', 'Peter'], ['Israel', 'Isaac'], ['Victor Emmanuel II', 'Italy'], ['Umberto I', 'Italy'], ['Beethoven', 'piano'], ['John Zorn', 'saxophonist'], ['The Real McCoys', 'CBS'], ['Brookside', 'Channel 4'], ['Busan', 'Gyeongbu Line'], ['Springer Mountain', 'Appalachian Trail'], ['CT', 'Canada'], ['Central Time Zone', 'United States']]",[Airline] has a hub in [Location],0,True
['Asiana Airlines' 'Seoul'],0,"[['Qantas', 'Singapore'], ['Singapore', 'Qantas'], ['joint resolution', 'United States Congress'], ['joint resolution', 'Congress'], ['Pahonia', 'Lithuania'], ['Plantagenet', 'England'], ['Mars', 'Solar System'], ['Colorado Desert', 'Sonoran Desert'], ['Manchester United', 'red'], ['Ruby', 'red'], ['PlayStation 2', 'Sony Computer Entertainment'], ['Macintosh', 'Apple'], ['Accra', 'Ghana'], ['Agartala', 'Tripura'], ['Poland', 'European Union'], ['Poland', 'NATO'], ['German invasion', '22 June 1941'], ['Operation Barbarossa', '22 June 1941'], ['Afghanistan', 'Islam'], ['Turkey', 'Islam'], ['Majlis', 'Iran'], ['Knesset', 'Israel'], ['Ukrainian SSR', 'Soviet Union'], ['Royal Flying Corps', 'Royal Air Force'], ['Ukraine', 'Russian'], ['Kerala', 'Malayalam'], ['EPL', 'Open Source Initiative'], ['zlib license', 'Open Source Initiative'], ['Wrigley Field', 'Chicago Cubs'], ['Yankee Stadium', 'Yankees'], ['Citizen Kane', 'Orson Welles'], ['Raajneeti', 'Prakash Jha'], ['Doctor Who', 'Patrick Troughton'], ['Doctor Who', 'Tom Baker'], ['Nicolas Sarkozy', 'UMP'], ['Mao Zedong', 'Communist Party'], ['Meg', 'Peter'], ['Israel', 'Isaac'], ['Umberto I', 'Italy'], ['Elizabeth II', 'Canada'], ['Nicky Hopkins', 'pianist'], ['Beethoven', 'piano'], ['The Real McCoys', 'ABC'], ['Brookside', 'Channel 4'], ['Seoul', 'Gyeongbu Line'], ['Springer Mountain', 'Appalachian Trail'], ['central time zone', 'Illinois'], ['CT', 'American']]",[Airline] has a hub in [Location],0,True
['Asiana Airlines' 'Seoul'],0,"[['Air China', 'Beijing'], ['Beijing', 'Air China'], ['joint resolution', 'Congress'], ['joint resolution', 'United States Congress'], ['trident', 'Ukraine'], ['Pahonia', 'Lithuania'], ['Colorado Desert', 'Sonoran Desert'], ['main asteroid belt', 'Solar System'], ['Manchester United', 'red'], ['Kermit', 'greenness'], ['PlayStation 2', 'Sony Computer Entertainment'], ['Apple II', 'Apple'], ['Agartala', 'Tripura'], ['Accra', 'Ghana'], ['Poland', 'United Nations'], ['Poland', 'Europe'], ['German invasion', '22 June 1941'], ['Operation Barbarossa', '22 June 1941'], ['England', 'Roman Catholic'], ['Iraq', 'Islam'], ['Sejm', 'Poland'], ['Majlis', 'Iran'], ['Royal Flying Corps', 'Royal Air Force'], ['Canadian Army', 'Canadian Forces'], ['Ukraine', 'Russian'], ['American', 'English'], ['GNU General Public License', 'Open Source Initiative'], ['EPL', 'Open Source Initiative'], ['Yankee Stadium', 'Yankees'], ['Wrigley Field', 'Cubs'], ['Raajneeti', 'Prakash Jha'], ['Citizen Kane', 'Orson Welles'], ['Doctor Who', 'Tom Baker'], ['Doctor Who', 'Patrick Troughton'], ['Washington', 'Federalist Party'], ['Mao Zedong', 'Communist Party'], ['Israel', 'Isaac'], ['Meg', 'Peter'], ['Umberto I', 'Italy'], ['Victor Emmanuel II', 'Italy'], ['Brahms', 'pianist'], ['Nicky Hopkins', 'pianist'], ['The Real McCoys', 'ABC'], ['Brookside', 'Channel 4'], ['Seoul', 'Gyeongbu Line'], ['Busan', 'Gyeongbu Line'], ['CT', 'Mexico'], ['Central Time Zone', 'United States']]",[Airline] has a hub in [Location],0,True
['Cathay Pacific' 'Hong Kong'],0,"[['Qantas', 'Singapore'], ['Singapore', 'Qantas'], ['joint resolution', 'United States Congress'], ['joint resolution', 'Congress'], ['Pahonia', 'Lithuania'], ['trident', 'Ukraine'], ['Colorado Desert', 'Sonoran Desert'], ['main asteroid belt', 'Solar System'], ['Liberal Party', 'red'], ['Ruby', 'red'], ['PlayStation 2', 'Sony Computer Entertainment'], ['PlayStation 2', 'Sony'], ['Makassar', 'South Sulawesi'], ['Amman', 'Jordan'], ['Poland', 'United Nations'], ['Poland', 'NATO'], ['German invasion', '22 June 1941'], ['Operation Barbarossa', '22 June 1941'], ['Finland', 'Evangelical Lutheran Church'], ['Iraq', 'Islam'], ['Croatian Parliament', 'Croatia'], ['Majlis', 'Iran'], ['Ukrainian SSR', 'Soviet Union'], ['Canadian Army', 'Canadian Forces'], ['Belarus', 'Russian'], ['American', 'English'], ['zlib license', 'Open Source Initiative'], ['GNU General Public License', 'Open Source Initiative'], ['Wrigley Field', 'Chicago Cubs'], ['Yankee Stadium', 'Yankees'], ['Raajneeti', 'Prakash Jha'], ['She Hate Me', 'Spike Lee'], ['Doctor Who', 'Tom Baker'], ['Doctor Who', 'Patrick Troughton'], ['Putin', 'Communist Party'], ['Nelson Mandela', 'ANC'], ['Meg', 'Peter'], ['Israel', 'Isaac'], ['Victor Emmanuel III', 'Italy'], ['Umberto I', 'Italy'], ['McCartney', 'piano'], ['Brahms', 'pianist'], ['The Real McCoys', 'CBS'], ['The Real McCoys', 'ABC'], ['Seoul', 'Gyeongbu Line'], ['Busan', 'Gyeongbu Line'], ['CT', 'Mexico'], ['central time zone', 'Indiana']]",[Airline] has a hub in [Location],0,True
['Cathay Pacific' 'Hong Kong'],0,"[['Air China', 'Beijing'], ['Beijing', 'Air China'], ['joint resolution', 'Congress'], ['joint resolution', 'United States Congress'], ['Plantagenet', 'England'], ['Pahonia', 'Lithuania'], ['DNA', 'genome'], ['main asteroid belt', 'Solar System'], ['Liberal Party', 'red'], ['Ruby', 'red'], ['PlayStation 2', 'Sony Computer Entertainment'], ['PlayStation 2', 'Sony'], ['Accra', 'Ghana'], ['Makassar', 'South Sulawesi'], ['Poland', 'European Union'], ['Poland', 'NATO'], ['German invasion', '22 June 1941'], ['Operation Barbarossa', '22 June 1941'], ['Iraq', 'Islam'], ['Brazil', 'Catholic Church'], ['Majlis', 'Iran'], ['Parliament', 'Sri Lanka'], ['Ukrainian SSR', 'Soviet Union'], ['Russia', 'Soviet Union'], ['Kerala', 'Malayalam'], ['American', 'English'], ['GNU General Public License', 'Open Source Initiative'], ['EPL', 'Open Source Initiative'], ['Wrigley Field', 'Cubs'], ['Wrigley Field', 'Chicago Cubs'], ['Citizen Kane', 'Orson Welles'], ['She Hate Me', 'Spike Lee'], ['Doctor Who', 'Patrick Troughton'], ['Doctor Who', 'Tom Baker'], ['Mao Zedong', 'Communist Party'], ['Putin', 'Communist Party'], ['Israel', 'Isaac'], ['Meg', 'Peter'], ['Victor Emmanuel II', 'Italy'], ['Victor Emmanuel III', 'Italy'], ['Mozart', 'violin'], ['John Zorn', 'saxophonist'], ['The Real McCoys', 'ABC'], ['Brookside', 'Channel 4'], ['Seoul', 'Gyeongbu Line'], ['Busan', 'Gyeongbu Line'], ['CT', 'Canada'], ['central time zone', 'Indiana']]",[Airline] has a hub in [Location],0,True
