stem,answer,choice,prefix,prediction,accuracy
['Korean Air' 'Seoul'],3,"[['Hong Kong', 'Cathay Pacific'], ['Doctor Who', 'Tom Baker'], ['Israel', 'Isaac'], ['Cathay Pacific', 'Hong Kong'], ['Riksdag', 'Sweden'], ['Canadian Army', 'Canadian Forces'], ['Poland', 'Europe'], ['Agartala', 'Tripura'], ['Colorado Desert', 'Sonoran Desert'], ['Wrigley Field', 'Cubs'], ['Springer Mountain', 'Appalachian Trail'], ['central time zone', 'Indiana'], ['CT', 'United States'], ['trident', 'Ukraine'], ['The Real McCoys', 'CBS'], ['Apple III', 'Apple'], ['Croatian Parliament', 'Croatia'], ['EPL', 'Open Source Initiative'], ['Poland', 'United Nations'], ['Apple II', 'Apple'], ['Seoul', 'Gyeongbu Line'], ['joint resolution', 'Congress'], ['Ruby', 'red'], ['harp', 'Ireland'], ['Victor Emmanuel II', 'Italy'], ['Wrigley Field', 'Chicago Cubs'], ['Umberto I', 'Italy'], ['German invasion', '22 June 1941'], ['George Washington', 'Federalist Party'], ['John Zorn', 'saxophonist'], ['Brahms', 'pianist'], ['Mars', 'Solar System'], ['Washington', 'Federalist Party'], ['England', 'Roman Catholic'], ['Liberal Party', 'red'], ['The Real McCoys', 'ABC'], ['Baku', 'Azerbaijan'], ['Meg', 'Peter'], ['Russia', 'Soviet Union'], ['She Hate Me', 'Spike Lee'], ['Iraq', 'Islam'], ['Russia', 'Russian'], ['Rocky', 'Sylvester Stallone'], ['Doctor Who', 'Patrick Troughton'], ['Operation Barbarossa', '22 June 1941'], ['joint resolution', 'United States Congress'], ['GNU General Public License', 'Open Source Initiative'], ['Ukraine', 'Russian']]",[Airline] has a hub in [Location],3,True
['Korean Air' 'Seoul'],32,"[['Springer Mountain', 'Appalachian Trail'], ['Poland', 'NATO'], ['Seoul', 'Gyeongbu Line'], ['Ruby', 'red'], ['trident', 'Ukraine'], ['Putin', 'Communist Party'], ['joint resolution', 'Congress'], ['Poland', 'United Nations'], ['Iraq', 'Islam'], ['Joseph Stalin', 'Communist Party'], ['Doctor Who', 'Tom Baker'], ['Central Time Zone', 'United States'], ['John Zorn', 'saxophonist'], ['EPL', 'Open Source Initiative'], ['Macintosh', 'Apple'], ['Umberto I', 'Italy'], ['Israel', 'Isaac'], ['Makassar', 'South Sulawesi'], ['Sejm', 'Poland'], ['Operation Barbarossa', '22 June 1941'], ['Riksdag', 'Sweden'], ['Ukrainian SSR', 'Soviet Union'], ['Yankee Stadium', 'Yankees'], ['Doctor Who', 'Patrick Troughton'], ['Apple II', 'Apple'], ['joint resolution', 'United States Congress'], ['Finland', 'Evangelical Lutheran Church'], ['Brookside', 'Channel 4'], ['Russia', 'Russian'], ['Royal Flying Corps', 'Royal Air Force'], ['central time zone', 'Indiana'], ['Nicky Hopkins', 'pianist'], ['Dragonair', 'Hong Kong'], ['GNU General Public License', 'Open Source Initiative'], ['Victor Emmanuel III', 'Italy'], ['Hong Kong', 'Dragonair'], ['The Real McCoys', 'CBS'], ['DNA', 'genome'], ['Hannover', 'Lower Saxony'], ['Ukraine', 'Russian'], ['Rocky', 'Sylvester Stallone'], ['Wrigley Field', 'Chicago Cubs'], ['Raajneeti', 'Prakash Jha'], ['main asteroid belt', 'Solar System'], ['German invasion', '22 June 1941'], ['Great Seal', 'United States'], ['Meg', 'Peter'], ['Manchester United', 'red']]",[Airline] has a hub in [Location],14,False
['Korean Air' 'Seoul'],26,"[['Kerala', 'Malayalam'], ['Doctor Who', 'Patrick Troughton'], ['Central Time Zone', 'United States'], ['Putin', 'Communist Party'], ['Colorado Desert', 'Sonoran Desert'], ['Poland', 'United Nations'], ['harp', 'Ireland'], ['Royal Flying Corps', 'Royal Air Force'], ['Kermit', 'greenness'], ['Yankee Stadium', 'Yankees'], ['Nehru', 'Indian National Congress'], ['Knesset', 'Israel'], ['Brazil', 'Catholic Church'], ['Israel', 'Isaac'], ['GNU General Public License', 'Open Source Initiative'], ['Congress', 'United States'], ['DNA', 'genome'], ['Mozart', 'violin'], ['Operation Barbarossa', '22 June 1941'], ['Springer Mountain', 'Appalachian Trail'], ['Rocky', 'Sylvester Stallone'], ['Victor Emmanuel II', 'Italy'], ['Accra', 'Ghana'], ['Meg', 'Peter'], ['Poland', 'European Union'], ['Apple III', 'Apple'], ['Qantas', 'Singapore'], ['Singapore', 'Qantas'], ['She Hate Me', 'Spike Lee'], ['Manchester United', 'red'], ['McCartney', 'piano'], ['Wrigley Field', 'Cubs'], ['Busan', 'Gyeongbu Line'], ['Doctor Who', 'Tom Baker'], ['Belarus', 'Russian'], ['zlib license', 'Open Source Initiative'], ['The Real McCoys', 'CBS'], ['joint resolution', 'United States Congress'], ['Amman', 'Jordan'], ['Victor Emmanuel III', 'Italy'], ['German invasion', '22 June 1941'], ['England', 'Roman Catholic'], ['Brookside', 'Channel 4'], ['Apple II', 'Apple'], ['Canadian Army', 'Canadian Forces'], ['Central Time Zone', 'American'], ['trident', 'Ukraine'], ['joint resolution', 'Congress']]",[Airline] has a hub in [Location],26,True
['Korean Air' 'Seoul'],37,"[['Ukraine', 'Russian'], ['CT', 'United States'], ['Apple III', 'Apple'], ['German invasion', '22 June 1941'], ['joint resolution', 'United States Congress'], ['Russia', 'Soviet Union'], ['Brazil', 'Catholic Church'], ['Seoul', 'Gyeongbu Line'], ['Apple II', 'Apple'], ['Colorado Desert', 'Sonoran Desert'], ['Brookside', 'Channel 4'], ['EPL', 'Open Source Initiative'], ['Kerala', 'Malayalam'], ['Springer Mountain', 'Appalachian Trail'], ['Agartala', 'Tripura'], ['Riksdag', 'Sweden'], ['Kermit', 'greenness'], ['Singapore', 'Singapore Airlines'], ['Iraq', 'Islam'], ['harp', 'Ireland'], ['joint resolution', 'Congress'], ['Victor Emmanuel III', 'Italy'], ['The Godfather', 'Francis Ford Coppola'], ['George Washington', 'Federalist Party'], ['Wrigley Field', 'Chicago Cubs'], ['Wrigley Field', 'Cubs'], ['DNA', 'genome'], ['The Real McCoys', 'CBS'], ['zlib license', 'Open Source Initiative'], ['Sejm', 'Poland'], ['Doctor Who', 'Tom Baker'], ['Doctor Who', 'Patrick Troughton'], ['Meg', 'Peter'], ['Makassar', 'South Sulawesi'], ['Poland', 'NATO'], ['Operation Barbarossa', '22 June 1941'], ['McCartney', 'piano'], ['Singapore Airlines', 'Singapore'], ['Pahonia', 'Lithuania'], ['central time zone', 'Illinois'], ['Beethoven', 'piano'], ['Citizen Kane', 'Orson Welles'], ['Umberto I', 'Italy'], ['Ukrainian SSR', 'Soviet Union'], ['Manchester United', 'red'], ['Washington', 'Federalist Party'], ['Israel', 'Isaac'], ['Poland', 'Europe']]",[Airline] has a hub in [Location],37,True
['Asiana Airlines' 'Seoul'],24,"[['Makassar', 'South Sulawesi'], ['German invasion', '22 June 1941'], ['McCartney', 'piano'], ['Brookside', 'Channel 4'], ['Colorado Desert', 'Sonoran Desert'], ['George Washington', 'Federalist Party'], ['Victor Emmanuel III', 'Italy'], ['central time zone', 'Illinois'], ['EPL', 'Open Source Initiative'], ['Congress', 'United States'], ['Doctor Who', 'Patrick Troughton'], ['Apple II', 'Apple'], ['CT', 'Canada'], ['She Hate Me', 'Spike Lee'], ['Accra', 'Ghana'], ['joint resolution', 'United States Congress'], ['Macintosh', 'Apple'], ['Israel', 'Isaac'], ['The Real McCoys', 'ABC'], ['Yankee Stadium', 'Yankees'], ['Elizabeth II', 'Canada'], ['Canadian Army', 'Canadian Forces'], ['Wrigley Field', 'Cubs'], ['Majlis', 'Iran'], ['Cathay Pacific', 'Hong Kong'], ['Springer Mountain', 'Appalachian Trail'], ['Ruby', 'red'], ['Meg', 'Peter'], ['zlib license', 'Open Source Initiative'], ['John Zorn', 'saxophonist'], ['Ukraine', 'Russian'], ['Operation Barbarossa', '22 June 1941'], ['Russia', 'Soviet Union'], ['Doctor Who', 'Tom Baker'], ['Poland', 'European Union'], ['joint resolution', 'Congress'], ['Brazil', 'Catholic Church'], ['Washington', 'Federalist Party'], ['Busan', 'Gyeongbu Line'], ['Hong Kong', 'Cathay Pacific'], ['Pahonia', 'Lithuania'], ['Plantagenet', 'England'], ['Liberal Party', 'red'], ['The Godfather', 'Francis Ford Coppola'], ['Kerala', 'Malayalam'], ['main asteroid belt', 'Solar System'], ['Afghanistan', 'Islam'], ['Poland', 'Europe']]",[Airline] has a hub in [Location],24,True
['Asiana Airlines' 'Seoul'],28,"[['Macintosh', 'Apple'], ['Nicolas Sarkozy', 'UMP'], ['Kermit', 'greenness'], ['Mozart', 'violin'], ['zlib license', 'Open Source Initiative'], ['Doctor Who', 'Patrick Troughton'], ['Brookside', 'Channel 4'], ['Diet', 'Japan'], ['central time zone', 'Illinois'], ['Israel', 'Isaac'], ['Sejm', 'Poland'], ['Seoul', 'Gyeongbu Line'], ['Elizabeth II', 'Canada'], ['The Real McCoys', 'CBS'], ['Kerala', 'Malayalam'], ['Yankee Stadium', 'Yankees'], ['German invasion', '22 June 1941'], ['Afghanistan', 'Islam'], ['Poland', 'NATO'], ['trident', 'Ukraine'], ['joint resolution', 'United States Congress'], ['GNU General Public License', 'Open Source Initiative'], ['Baku', 'Azerbaijan'], ['harp', 'Ireland'], ['Liberal Party', 'red'], ['Amman', 'Jordan'], ['Rocky', 'Sylvester Stallone'], ['George Washington', 'Federalist Party'], ['Dragonair', 'Hong Kong'], ['Meg', 'Peter'], ['Finland', 'Evangelical Lutheran Church'], ['Colorado Desert', 'Sonoran Desert'], ['Russia', 'Russian'], ['central time zone', 'Indiana'], ['The Godfather', 'Francis Ford Coppola'], ['Canadian Army', 'Canadian Forces'], ['Mars', 'Solar System'], ['PlayStation 2', 'Sony Computer Entertainment'], ['joint resolution', 'Congress'], ['Poland', 'United Nations'], ['Wrigley Field', 'Cubs'], ['Hong Kong', 'Dragonair'], ['Doctor Who', 'Tom Baker'], ['McCartney', 'piano'], ['Springer Mountain', 'Appalachian Trail'], ['Russia', 'Soviet Union'], ['Operation Barbarossa', '22 June 1941'], ['Victor Emmanuel II', 'Italy']]",[Airline] has a hub in [Location],22,False
['Asiana Airlines' 'Seoul'],42,"[['Nicky Hopkins', 'pianist'], ['Elizabeth II', 'Canada'], ['central time zone', 'Indiana'], ['Wrigley Field', 'Chicago Cubs'], ['Poland', 'United Nations'], ['Ukraine', 'Russian'], ['The Real McCoys', 'CBS'], ['Yankee Stadium', 'Yankees'], ['Poland', 'European Union'], ['joint resolution', 'United States Congress'], ['Central Time Zone', 'Mexico'], ['Springer Mountain', 'Appalachian Trail'], ['Mars', 'Solar System'], ['Great Seal', 'United States'], ['Doctor Who', 'Patrick Troughton'], ['EPL', 'Open Source Initiative'], ['Apple III', 'Apple'], ['Beethoven', 'piano'], ['Macintosh', 'Apple'], ['Agartala', 'Tripura'], ['Brookside', 'Channel 4'], ['Doctor Who', 'Tom Baker'], ['Turkey', 'Islam'], ['Parliament', 'Sri Lanka'], ['Ruby', 'red'], ['Umberto I', 'Italy'], ['Belarus', 'Russian'], ['Ukrainian SSR', 'Soviet Union'], ['George Washington', 'Federalist Party'], ['Finland', 'Evangelical Lutheran Church'], ['Nelson Mandela', 'ANC'], ['main asteroid belt', 'Solar System'], ['GNU General Public License', 'Open Source Initiative'], ['Hannover', 'Lower Saxony'], ['Busan', 'Gyeongbu Line'], ['German invasion', '22 June 1941'], ['Singapore', 'Qantas'], ['Congress', 'United States'], ['Canadian Army', 'Canadian Forces'], ['Raajneeti', 'Prakash Jha'], ['Israel', 'Isaac'], ['Kermit', 'greenness'], ['Qantas', 'Singapore'], ['joint resolution', 'Congress'], ['Operation Barbarossa', '22 June 1941'], ['She Hate Me', 'Spike Lee'], ['Plantagenet', 'England'], ['Meg', 'Peter']]",[Airline] has a hub in [Location],42,True
['Asiana Airlines' 'Seoul'],14,"[['Victor Emmanuel III', 'Italy'], ['Doctor Who', 'Patrick Troughton'], ['Poland', 'Europe'], ['Poland', 'European Union'], ['Apple II', 'Apple'], ['Central Time Zone', 'United States'], ['Macintosh', 'Apple'], ['German invasion', '22 June 1941'], ['Rocky', 'Sylvester Stallone'], ['Meg', 'Peter'], ['Nicky Hopkins', 'pianist'], ['The Real McCoys', 'CBS'], ['Yankee Stadium', 'Yankees'], ['Ruby', 'red'], ['Air China', 'Beijing'], ['Royal Flying Corps', 'Royal Air Force'], ['Turkey', 'Islam'], ['Amman', 'Jordan'], ['Springer Mountain', 'Appalachian Trail'], ['Belarus', 'Russian'], ['Diet', 'Japan'], ['CT', 'Canada'], ['Wrigley Field', 'Cubs'], ['Elizabeth II', 'Canada'], ['Iraq', 'Islam'], ['Beijing', 'Air China'], ['Andreas Papandreou', 'PASOK'], ['Operation Barbarossa', '22 June 1941'], ['She Hate Me', 'Spike Lee'], ['DNA', 'genome'], ['Busan', 'Gyeongbu Line'], ['EPL', 'Open Source Initiative'], ['zlib license', 'Open Source Initiative'], ['trident', 'Ukraine'], ['joint resolution', 'Congress'], ['Accra', 'Ghana'], ['Doctor Who', 'Tom Baker'], ['The Real McCoys', 'ABC'], ['Israel', 'Isaac'], ['Ukrainian SSR', 'Soviet Union'], ['Colorado Desert', 'Sonoran Desert'], ['George Washington', 'Federalist Party'], ['Plantagenet', 'England'], ['joint resolution', 'United States Congress'], ['McCartney', 'piano'], ['American', 'English'], ['Manchester United', 'red'], ['Croatian Parliament', 'Croatia']]",[Airline] has a hub in [Location],14,True
['Cathay Pacific' 'Hong Kong'],22,"[['Beethoven', 'piano'], ['Pahonia', 'Lithuania'], ['PlayStation 2', 'Sony'], ['Knesset', 'Israel'], ['Central Time Zone', 'United States'], ['Umberto I', 'Italy'], ['Meg', 'Peter'], ['Ukrainian SSR', 'Soviet Union'], ['German invasion', '22 June 1941'], ['Apple II', 'Apple'], ['Kermit', 'greenness'], ['Wrigley Field', 'Chicago Cubs'], ['central time zone', 'Indiana'], ['Brazil', 'Catholic Church'], ['Nelson Mandela', 'ANC'], ['Parliament', 'Sri Lanka'], ['joint resolution', 'Congress'], ['zlib license', 'Open Source Initiative'], ['Doctor Who', 'Tom Baker'], ['Israel', 'Isaac'], ['Operation Barbarossa', '22 June 1941'], ['John Zorn', 'saxophonist'], ['Qantas', 'Singapore'], ['DNA', 'genome'], ['Rocky', 'Sylvester Stallone'], ['The Real McCoys', 'ABC'], ['Brookside', 'Channel 4'], ['GNU General Public License', 'Open Source Initiative'], ['main asteroid belt', 'Solar System'], ['England', 'Roman Catholic'], ['Elizabeth II', 'Canada'], ['Busan', 'Gyeongbu Line'], ['Putin', 'Communist Party'], ['Citizen Kane', 'Orson Welles'], ['Yankee Stadium', 'Yankees'], ['Singapore', 'Qantas'], ['Kerala', 'Malayalam'], ['Amman', 'Jordan'], ['Doctor Who', 'Patrick Troughton'], ['Poland', 'NATO'], ['Springer Mountain', 'Appalachian Trail'], ['Great Seal', 'United States'], ['joint resolution', 'United States Congress'], ['Baku', 'Azerbaijan'], ['Ruby', 'red'], ['Ukraine', 'Russian'], ['Royal Flying Corps', 'Royal Air Force'], ['Poland', 'Europe']]",[Airline] has a hub in [Location],22,True
['Cathay Pacific' 'Hong Kong'],41,"[['Brookside', 'Channel 4'], ['Israel', 'Isaac'], ['EPL', 'Open Source Initiative'], ['Poland', 'NATO'], ['Nicky Hopkins', 'pianist'], ['American', 'English'], ['Afghanistan', 'Islam'], ['Croatian Parliament', 'Croatia'], ['Raajneeti', 'Prakash Jha'], ['Canadian Army', 'Canadian Forces'], ['Doctor Who', 'Tom Baker'], ['Poland', 'European Union'], ['The Real McCoys', 'CBS'], ['Seoul', 'Gyeongbu Line'], ['CT', 'American'], ['Colorado Desert', 'Sonoran Desert'], ['Liberal Party', 'red'], ['Umberto I', 'Italy'], ['Makassar', 'South Sulawesi'], ['Mao Zedong', 'Communist Party'], ['Brazil', 'Catholic Church'], ['Operation Barbarossa', '22 June 1941'], ['harp', 'Ireland'], ['joint resolution', 'Congress'], ['Beijing', 'Air China'], ['main asteroid belt', 'Solar System'], ['GNU General Public License', 'Open Source Initiative'], ['Meg', 'Peter'], ['Agartala', 'Tripura'], ['Busan', 'Gyeongbu Line'], ['Citizen Kane', 'Orson Welles'], ['Yankee Stadium', 'Yankees'], ['Apple III', 'Apple'], ['Russia', 'Russian'], ['joint resolution', 'United States Congress'], ['Andreas Papandreou', 'PASOK'], ['Mozart', 'violin'], ['Great Seal', 'United States'], ['CT', 'Canada'], ['Doctor Who', 'Patrick Troughton'], ['Diet', 'Japan'], ['Air China', 'Beijing'], ['PlayStation 2', 'Sony'], ['Kermit', 'greenness'], ['German invasion', '22 June 1941'], ['Russia', 'Soviet Union'], ['Victor Emmanuel II', 'Italy'], ['Wrigley Field', 'Chicago Cubs']]",[Airline] has a hub in [Location],41,True
