stem,answer,choice,prefix,prediction,accuracy
['Acura' 'Denver'],0,"[['Chevrolet', 'Houston'], ['Houston', 'Chevrolet'], ['Volkswagen', 'Canada'], ['Nebraska', 'Republican'], ['Mitt Romney', 'Mccain'], ['Explorer', 'Microsoft'], ['Cowboys 19 13', 'Dave Campo']]",concept:automobilemakerdealersincity,4,False
['Nissan' 'Indianapolis'],0,"[['Chevrolet', 'Philadelphia'], ['Philadelphia', 'Chevrolet'], ['Dodge', 'Germany'], ['Mass', 'Edward J Markey'], ['Bush', 'Santorum'], ['Itunes', 'Apple'], ['Ucla', 'Ben Howland']]",concept:automobilemakerdealersincity,6,False
['Kia' 'Mission'],0,"[['Acura', 'Naperville'], ['Naperville', 'Acura'], ['Think', 'UK'], ['Spain', 'Javier Bardem'], ['Hillary', 'Clinton'], ['Expedition', 'Ford'], ['Boston Bruins', 'Claude Julien']]",concept:automobilemakerdealersincity,5,False
['Nissan' 'Tyler'],0,"[['Chevrolet', 'Louisville'], ['Louisville', 'Chevrolet'], ['Hyundai', 'UK'], ['Milwaukee', 'Tom Barrett'], ['Clinton', 'President George H Bush'], ['Super Duty F 450 Drw', 'Ford'], ['Cleveland Browns', 'Paul Brown']]",concept:automobilemakerdealersincity,5,False
['Lexus' 'Dallas'],0,"[['Dodge', 'Milwaukee'], ['Milwaukee', 'Dodge'], ['Mazda', 'America'], ['Philadelphia', 'Michael Nutter'], ['Dick Cheney', 'Mccain'], ['Ford Fusion', 'Honda'], ['Arkansas Razorbacks', 'Nolan Richardson']]",concept:automobilemakerdealersincity,5,False
['Lexus' 'Dallas'],0,"[['Acura', 'Boulder Colorado'], ['Boulder Colorado', 'Acura'], ['Rover', 'UK'], ['Mexico', 'Goffredo Marcaccini'], ['Sarah Palin', 'Presidential Candidate John Mccain'], ['Pdf File', 'Microsoft'], ['White Sox', 'Jermaine Dye']]",concept:automobilemakerdealersincity,1,False
['Cadillac' 'Austin'],0,"[['Honda', 'San Francisco'], ['San Francisco', 'Honda'], ['Lamborghini', 'UK'], ['Concord', 'Rose'], ['President George W Bush', 'Dick Cheney'], ['Nissan Versa', 'Ford'], ['New York Giants', 'Drew Bledsoe']]",concept:automobilemakerdealersincity,0,True
['Kia' 'Lubbock'],0,"[['Honda', 'Kansas City'], ['Kansas City', 'Honda'], ['Dacia', 'UK'], ['U S', 'Barack Obama'], ['John Mccain', 'Gov Sarah Palin'], ['Versa', 'Nissan'], ['Utah State', 'Brent Guy']]",concept:automobilemakerdealersincity,4,False
['Acura' 'Hoffman Estates'],0,"[['Cadillac', 'Austin'], ['Austin', 'Cadillac'], ['Opel', 'UK'], ['North Carolina', 'Jesse Helms'], ['Palin', 'Republican Presidential Nominee John Mccain'], ['Volkswagen Passat', 'Honda'], ['Seattle Seahawks 21 10', 'Mike Holmgren']]",concept:automobilemakerdealersincity,3,False
['Kia' 'Midland'],0,"[['Acura', 'Weber'], ['Weber', 'Acura'], ['Land Rover', 'UK'], ['Kansas', 'Republican'], ['Senator John Mccain', 'Palin'], ['Ms Outlook', 'Microsoft'], ['Red Wings', 'Mike Babcock']]",concept:automobilemakerdealersincity,4,False
['Kia' 'Lubbock'],0,"[['Daewoo', 'Los Angeles Ca'], ['Los Angeles Ca', 'Daewoo'], ['Land Rover', 'Canada'], ['London', 'Boris Johnson'], ['Gloria Steinem', 'Clinton'], ['Ranchero', 'Ford'], ['Boston College', 'Tom O Brien']]",concept:automobilemakerdealersincity,0,True
['Acura' 'Mississippi'],0,"[['Chevrolet', 'Denver'], ['Denver', 'Chevrolet'], ['Mini', 'UK'], ['Alabama', 'Republican'], ['Mccain', 'Barrack Obama'], ['Toyota Camry', 'Toyota'], ['Former San Francisco Giants', 'Gary Carter']]",concept:automobilemakerdealersincity,6,False
['Acura' 'Bozeman'],0,"[['Honda', 'Kansas City'], ['Kansas City', 'Honda'], ['Mini', 'UK'], ['Virginia', 'Republican'], ['President Elect Obama', 'Clinton'], ['Acrobat Reader', 'Microsoft'], ['Cowboys 19 13', 'Dave Campo']]",concept:automobilemakerdealersincity,4,False
['Kia' 'Austin'],0,"[['Nissan', 'Miami Florida'], ['Miami Florida', 'Nissan'], ['Suzuki', 'UK'], ['Havana', 'Fidel'], ['Gore', 'Former President Bill Clinton'], ['Volkswagen Golf', 'Volkswagen'], ['New York Mets', 'Mike Pelfrey']]",concept:automobilemakerdealersincity,3,False
['Acura' 'Boulder Colorado'],0,"[['Honda', 'Tulsa'], ['Tulsa', 'Honda'], ['Lotus', 'UK'], ['Nebraska', 'Republican'], ['Clinton', 'Jesse Jackson'], ['Playstation 3', 'Sony'], ['Georgia Tech', 'Paul Johnson']]",concept:automobilemakerdealersincity,0,True
['Nissan' 'Amarillo'],0,"[['Chevrolet', 'Indianapolis'], ['Indianapolis', 'Chevrolet'], ['Hyundai', 'UK'], ['Zambian', 'Levy Mwanawasa'], ['Richard Nixon', 'Kennedy'], ['Pinto', 'Ford'], ['Tampa Bay Bucs', 'Jon Gruden']]",concept:automobilemakerdealersincity,3,False
['Dodge' 'San Diego'],0,"[['Chevrolet', 'Dallas'], ['Dallas', 'Chevrolet'], ['Mitsubishi', 'Canada'], ['Florida', 'Charlie Crist'], ['George W Bush', 'Gore'], ['Explorer Sport', 'Ford'], ['Stanford', 'David Carr']]",concept:automobilemakerdealersincity,4,False
['Acura' 'Lancaster'],0,"[['Honda', 'Phoenix'], ['Phoenix', 'Honda'], ['Maserati', 'Canada'], ['Georgia', 'Republican'], ['Former President Bill Clinton', 'Clinton'], ['Front Page', 'Microsoft'], ['Chicago Cardinals', 'Mike Schmidt']]",concept:automobilemakerdealersincity,4,False
['Honda' 'Orlando'],0,"[['Toyota', 'Tucson'], ['Tucson', 'Toyota'], ['Infiniti', 'Canada'], ['Nevada', 'Sig Rogich'], ['Mccain', 'Presidential Candidate Barack Obama'], ['Honda Fit', 'Honda'], ['Kansas State', 'Ron Prince']]",concept:automobilemakerdealersincity,5,False
['Kia' 'Amarillo'],0,"[['Nissan', 'Pasadena'], ['Pasadena', 'Nissan'], ['Lexus', 'UK'], ['Cheboygan', 'Terry Blaskowski'], ['President George W Bush', 'Bush'], ['Front Page', 'Microsoft'], ['Colorado Rockies', 'J D Drew']]",concept:automobilemakerdealersincity,0,True
['Acura' 'Dallas'],0,"[['Chevrolet', 'Baltimore'], ['Baltimore', 'Chevrolet'], ['Saab', 'UK'], ['Jalisco', 'Goffredo Marcaccini'], ['Bush', 'President George W Bush'], ['Quicktime', 'Apple'], ['Seattle Seahawks 21 10', 'Jim Mora']]",concept:automobilemakerdealersincity,0,True
['Cadillac' 'San Diego'],0,"[['Honda', 'Seattle'], ['Seattle', 'Honda'], ['Honda', 'Canada'], ['Italian', 'Silvio Berlusconi'], ['Hillary Rodham Clinton', 'Clinton'], ['Mitsubishi Lancer', 'Toyota'], ['Astros', 'Carlos Villanueva']]",concept:automobilemakerdealersincity,6,False
['Cadillac' 'Houston'],0,"[['Chevrolet', 'Louisville'], ['Louisville', 'Chevrolet'], ['Audi', 'UK'], ['New Mexico', 'Domenici'], ['Clinton', 'Barack Obama'], ['Wii', 'Nintendo'], ['Raptors', 'Dwane Casey']]",concept:automobilemakerdealersincity,1,False
['Kia' 'Austin'],0,"[['Toyota', 'Los Angeles Ca'], ['Los Angeles Ca', 'Toyota'], ['Volvo', 'USA'], ['Jalisco', 'James Goldsmith'], ['Vice President Al Gore', 'Clinton'], ['Explorer Sport', 'Ford'], ['Stanford Cardinals', 'Trent Johnson']]",concept:automobilemakerdealersincity,5,False
['Acura' 'Atlanta'],0,"[['Cadillac', 'Dallas'], ['Dallas', 'Cadillac'], ['Suzuki', 'Canada'], ['Dorchester', 'Rose'], ['Former President Clinton', 'Bush'], ['Nissan Maxima', 'Honda'], ['Ucla', 'Terry Donahue']]",concept:automobilemakerdealersincity,5,False
['Lexus' 'Dallas'],0,"[['Toyota', 'Sacramento'], ['Sacramento', 'Toyota'], ['Audi', 'UK'], ['Nebraska', 'Republican'], ['Hillary', 'Gore'], ['Outlook Mobile', 'Microsoft'], ['Iowa State', 'Greg Mcdermott']]",concept:automobilemakerdealersincity,4,False
['Cadillac' 'Houston'],0,"[['Honda', 'Lancaster'], ['Lancaster', 'Honda'], ['Acura', 'Canada'], ['Tn', 'Bill Purcell'], ['President Bush', 'Palin'], ['Toyota Camry', 'Toyota'], ['Towson University', 'Pat Kennedy']]",concept:automobilemakerdealersincity,5,False
['Acura' 'Los Angeles Ca'],0,"[['Honda', 'Indianapolis'], ['Indianapolis', 'Honda'], ['Jaguar', 'UK'], ['Iowa', 'Republican'], ['John Kerry', 'John Edwards'], ['Ranchero', 'Ford'], ['Cornhuskers', 'Bo Pelini']]",concept:automobilemakerdealersincity,5,False
['Buick' 'San Diego'],0,"[['Nissan', 'Amarillo'], ['Amarillo', 'Nissan'], ['Nissan', 'Japan'], ['Sri Lanka', 'Arthur C Clarke'], ['Mr Mccain', 'Palin'], ['Internet Explorer', 'Microsoft'], ['Milwaukee Bucks NBA', 'Larry Krystkowiak']]",concept:automobilemakerdealersincity,6,False
['Kia' 'Dallas'],0,"[['Nissan', 'Pasadena'], ['Pasadena', 'Nissan'], ['Opel', 'UK'], ['Zambian', 'Levy Mwanawasa'], ['Bush', 'Ronald Reagan'], ['Media Player', 'Microsoft'], ['Broncos', 'Josh Mcdaniels']]",concept:automobilemakerdealersincity,0,True
['Acura' 'Phoenix Arizona'],0,"[['Honda', 'Dallas'], ['Dallas', 'Honda'], ['Saab', 'USA'], ['Concord', 'Rose'], ['Madeleine Albright', 'Clinton'], ['Ford Mustang', 'Ford'], ['Boston Celtics', 'Doc Rivers']]",concept:automobilemakerdealersincity,6,False
['Cadillac' 'San Antonio'],0,"[['Chevrolet', 'Louisville'], ['Louisville', 'Chevrolet'], ['Suzuki', 'UK'], ['West Jordan', 'Larry I Rougle'], ['President Clinton', 'Bush'], ['Wii', 'Nintendo'], ['Portland Trail Blazers Tickets', 'Nate Mcmillan']]",concept:automobilemakerdealersincity,6,False
