stem,answer,choice,prefix,prediction,accuracy
['story' 'building'],3,"[['crust', 'sandwich'], ['shingle', 'roof'], ['data', 'file'], ['layer', 'cake'], ['root', 'plant']]",2,4,False
['architect' 'blueprint'],4,"[['instructor', 'blackboard'], ['graduate', 'diploma'], ['musician', 'note'], ['painter', 'brush'], ['composer', 'score']]",2,0,False
['callow' 'experience'],2,"[['painting', 'artist'], ['heavy', 'weight'], ['barren', 'fruit'], ['gift', 'donor'], ['measure', 'ounce']]",2,4,False
['embargo' 'trade'],4,"[['umbrella', 'clouds'], ['engine', 'automobile'], ['license', 'fishing'], ['alarm', 'valuable'], ['helmet', 'injury']]",2,2,False
['building' 'blueprint'],0,"[['report', 'outline'], ['chicken', 'egg'], ['brick', 'wall'], ['soup', 'ladle'], ['conduit', 'cement']]",2,0,True
['emend' 'faulty'],3,"[['recruit', 'competent'], ['fracture', 'separable'], ['renovate', 'habitable'], ['purify', 'contaminated'], ['reproduce', 'copied']]",2,1,False
['asteroid' 'planet'],0,"[['quibble', 'objection'], ['gravel', 'sand'], ['mountain', 'hill'], ['wood', 'splinter'], ['radio', 'television']]",2,1,False
['map' 'navigate'],3,"[['manuscript', 'submit'], ['license', 'revoke'], ['writing', 'erase'], ['blueprint', 'build'], ['receipt', 'pay']]",2,1,False
['epilogue' 'book'],4,"[['sequel', 'movie'], ['conclusion', 'title'], ['tiff', 'quarrel'], ['intermission', 'play'], ['finale', 'symphony']]",2,4,True
['raucous' 'sound'],3,"[['dim', 'light'], ['noisy', 'uproar'], ['tanned', 'leather'], ['rough', 'texture'], ['hard', 'granite']]",2,1,False
['eraser' 'page'],0,"[['mop', 'floor'], ['sponge', 'soap'], ['pen', 'ink'], ['nail', 'wall'], ['bleach', 'stain']]",2,2,False
['levee' 'flood'],2,"[['snow', 'avalanche'], ['rain', 'deluge'], ['immunization', 'disease'], ['zenith', 'view'], ['buttress', 'building']]",2,1,False
['quack' 'doctor'],1,"[['charlatan', 'impostor'], ['pretender', 'monarch'], ['defendant', 'prosecutor'], ['arbitrator', 'judge'], ['professional', 'amateur']]",2,0,False
['floral' 'flowers'],2,"[['perennial', 'plants'], ['morbid', 'cemeteries'], ['emotional', 'feelings'], ['moral', 'stories'], ['maniacal', 'men']]",2,0,False
['decibel' 'sound'],3,"[['ingredient', 'food'], ['ruler', 'length'], ['calories', 'menu'], ['degree', 'temperature'], ['headphones', 'music']]",2,4,False
['amalgam' 'metals'],2,"[['fracture', 'bones'], ['divorce', 'marriages'], ['coalition', 'factions'], ['car', 'payments'], ['convention', 'speeches']]",2,1,False
['emulate' 'person'],3,"[['admire', 'reputation'], ['obey', 'leader'], ['cooperate', 'partner'], ['mimic', 'gesture'], ['mock', 'sarcasm']]",2,4,False
['format' 'newspaper'],1,"[['binding', 'book'], ['design', 'building'], ['direction', 'sign'], ['market', 'commodity'], ['catalogue', 'library']]",2,0,False
['feign' 'deceive'],0,"[['flee', 'elude'], ['dangle', 'drop'], ['send', 'receive'], ['contract', 'lengthen'], ['publish', 'write']]",2,0,True
['flap' 'wing'],1,"[['speak', 'sound'], ['wave', 'hand'], ['whisper', 'word'], ['stub', 'toe'], ['sing', 'bird']]",2,4,False
['remuneration' 'labor'],3,"[['gratuity', 'bonus'], ['apology', 'regret'], ['pledge', 'donation'], ['trophy', 'victory'], ['debt', 'loan']]",2,4,False
['sequester' 'juror'],0,"[['quarantine', 'patient'], ['cloister', 'convent'], ['parole', 'prisoner'], ['graduate', 'pupil'], ['elect', 'mayor']]",2,2,False
['petal' 'flower'],3,"[['oak', 'tree'], ['staple', 'paper'], ['sprout', 'seed'], ['tooth', 'comb'], ['tide', 'beach']]",2,2,False
['saunter' 'walk'],1,"[['snore', 'sleep'], ['drawl', 'speak'], ['throw', 'toss'], ['ladle', 'brush'], ['finish', 'end']]",2,2,False
['seed' 'plant'],4,"[['pouch', 'kangaroo'], ['root', 'soil'], ['drop', 'water'], ['bark', 'tree'], ['egg', 'bird']]",2,0,False
['cooperation' 'collusion'],3,"[['evidence', 'proof'], ['achievement', 'reward'], ['damage', 'compensation'], ['imitation', 'forgery'], ['emotion', 'ecstasy']]",2,4,False
['lame' 'mobility'],2,"[['lively', 'energy'], ['hostile', 'enemy'], ['hoarse', 'speech'], ['fractured', 'cast'], ['walk', 'transportation']]",2,2,True
['mechanical' 'garage'],4,"[['artist', 'canvas'], ['administrator', 'personnel'], ['teller', 'window'], ['teacher', 'information'], ['nurse', 'hospital']]",2,4,True
['lobbyist' 'cause'],2,"[['legislator', 'voter'], ['clergy', 'congregation'], ['advertiser', 'product'], ['defendant', 'verdict'], ['consumer', 'goods']]",2,4,False
['birds' 'wings'],2,"[['moose', 'antlers'], ['camel', 'hump'], ['spider', 'legs'], ['alligator', 'tail'], ['cat', 'whiskers']]",2,4,False
['border' 'country'],4,"[['current', 'river'], ['water', 'lake'], ['waves', 'sea'], ['horizon', 'sunset'], ['shore', 'ocean']]",2,2,False
['bankruptcy' 'money'],3,"[['discrepancy', 'account'], ['empathy', 'feeling'], ['plan', 'organization'], ['apathy', 'caring'], ['homely', 'household']]",2,2,False
['traffic' 'street'],4,"[['ship', 'gangplank'], ['crop', 'harvest'], ['car', 'garage'], ['pedestrians', 'feet'], ['water', 'riverbed']]",2,0,False
['throng' 'people'],2,"[['game', 'players'], ['picnic', 'woods'], ['swarm', 'insects'], ['cat', 'kittens'], ['vase', 'flowers']]",2,2,True
['embroidery' 'cloth'],1,"[['bracelet', 'jewelry'], ['mural', 'wall'], ['tattoo', 'design'], ['paint', 'color'], ['flower', 'vase']]",2,3,False
['incorrigible' 'reformed'],4,"[['unnerving', 'irritated'], ['innocuous', 'harmed'], ['irrelevant', 'verified'], ['insolvent', 'dissolved'], ['indelible', 'erased']]",2,1,False
['food' 'hunger'],0,"[['love', 'loneliness'], ['ginseng', 'energy'], ['antiseptic', 'wound'], ['anodyne', 'pain'], ['no', 'choice']]",2,1,False
['word' 'language'],2,"[['paint', 'portrait'], ['poetry', 'rhythm'], ['note', 'music'], ['tale', 'story'], ['week', 'year']]",2,2,True
['purgation' 'impurities'],3,"[['catharsis', 'epiphanies'], ['sterilization', 'ailments'], ['salvation', 'prayers'], ['disinfection', 'bacteria'], ['inattention', 'details']]",2,3,True
['wedding' 'marriage'],1,"[['birthday', 'cake'], ['coronation', 'reign'], ['graduation', 'diploma'], ['promotion', 'job'], ['decoration', 'bravery']]",2,0,False
['puppeteer' 'marionette'],2,"[['teacher', 'textbook'], ['ballerina', 'leotard'], ['hypnotist', 'subject'], ['lawyer', 'criminal'], ['manager', 'baseball']]",2,1,False
['glaze' 'pottery'],2,"[['scuff', 'furniture'], ['donate', 'tree'], ['ice', 'cake'], ['injure', 'gun'], ['chortle', 'laugh']]",2,0,False
['pastiche' 'writing'],0,"[['collage', 'art'], ['melody', 'music'], ['bandage', 'medicine'], ['school', 'philosophy'], ['sequel', 'film']]",2,0,True
['carpenter' 'woodwork'],3,"[['guitarist', 'pick'], ['cook', 'heat'], ['sculptor', 'studio'], ['weaver', 'cloth'], ['potter', 'shape']]",2,0,False
