,source,true,pred,accuracy,similarity,similarity_true
0,"['solar system', 'sun', 'planet', 'mass', 'attracts', 'revolves', 'gravity']","['atom', 'nucleus', 'electron', 'charge', 'attracts', 'revolves', 'electromagnetism']","('atom', 'electron', 'nucleus', 'charge', 'attracts', 'revolves', 'electromagnetism')",False,0.9966754122036608,0.9965016512309246
1,"['water', 'flows', 'pressure', 'water tower', 'bucket', 'filling', 'emptying', 'hydrodynamics']","['heat', 'transfers', 'temperature', 'burner', 'kettle', 'heating', 'cooling', 'thermodynamics']","('heat', 'transfers', 'temperature', 'burner', 'kettle', 'heating', 'cooling', 'thermodynamics')",True,0.9965493786748917,0.9965493786748917
2,"['waves', 'shore', 'reflects', 'water', 'breakwater', 'rough', 'calm', 'crashing']","['sounds', 'wall', 'echoes', 'air', 'insulation', 'loud', 'quiet', 'vibrating']","('sounds', 'wall', 'echoes', 'air', 'insulation', 'loud', 'quiet', 'vibrating')",True,0.9964338951659235,0.9964338951659235
3,"['combustion', 'fire', 'fuel', 'burning', 'hot', 'intense', 'oxygen', 'carbon dioxide']","['respiration', 'animal', 'food', 'breathing', 'living', 'vigorous', 'oxygen', 'carbon dioxide']","('respiration', 'animal', 'food', 'breathing', 'living', 'vigorous', 'oxygen', 'carbon dioxide')",True,0.997125076817464,0.997125076817464
4,"['sound', 'low', 'high', 'echoes', 'loud', 'quiet', 'horn']","['light', 'red', 'violet', 'reflects', 'bright', 'dim', 'lens']","('light', 'violet', 'red', 'reflects', 'bright', 'dim', 'lens')",False,0.9958666475775221,0.9958181890034968
5,"['projectile', 'trajectory', 'earth', 'parabolic', 'air', 'gravity', 'attracts']","['planet', 'orbit', 'sun', 'elliptical', 'space', 'gravity', 'attracts']","('space', 'orbit', 'planet', 'elliptical', 'sun', 'gravity', 'attracts')",False,0.9972797601548112,0.9972372611171132
6,"['breeds', 'selection', 'conformance', 'artificial', 'popularity', 'breeding', 'domesticated']","['species', 'competition', 'adaptation', 'natural', 'fitness', 'mating', 'wild']","('species', 'competition', 'adaptation', 'natural', 'fitness', 'mating', 'wild')",True,0.9967971006422502,0.9967971006422502
7,"['ball', 'billiards', 'speed', 'table', 'bouncing', 'moving', 'slow', 'fast']","['molecules', 'gas', 'temperature', 'container', 'pressing', 'moving', 'cold', 'hot']","('molecules', 'gas', 'temperature', 'container', 'pressing', 'moving', 'cold', 'hot')",True,0.9964729643221582,0.9964729643221582
8,"['computer', 'processing', 'erasing', 'write', 'read', 'memory', 'outputs', 'inputs', 'bug']","['mind', 'thinking', 'forgetting', 'memorize', 'remember', 'memory', 'muscles', 'senses', 'mistake']","('mind', 'thinking', 'forgetting', 'memorize', 'remember', 'memory', 'muscles', 'senses', 'mistake')",True,0.9961045204344452,0.9961045204344452
9,"['slot machines', 'reels', 'spinning', 'winning', 'losing']","['bacteria', 'genes', 'mutating', 'reproducing', 'dying']","('bacteria', 'genes', 'mutating', 'reproducing', 'dying')",True,0.9957254706445673,0.9957254706445673
10,"['war', 'soldier', 'destroy', 'fighting', 'defeat', 'attacks', 'weapon']","['argument', 'debater', 'refute', 'arguing', 'acceptance', 'criticizes', 'logic']","('argument', 'debater', 'refute', 'arguing', 'acceptance', 'criticizes', 'logic')",True,0.9960656615156509,0.9960656615156509
