stem,answer,choice,prefix,prediction,accuracy
['Korean Air' 'Seoul'],0,"[['Cathay Pacific', 'Hong Kong'], ['Hong Kong', 'Cathay Pacific'], ['joint resolution', 'Congress'], ['joint resolution', 'United States Congress'], ['trident', 'Ukraine'], ['Plantagenet', 'England'], ['Colorado Desert', 'Sonoran Desert'], ['main asteroid belt', 'Solar System'], ['Liberal Party', 'red'], ['Kermit', 'greenness'], ['Apple III', 'Apple'], ['PlayStation 2', 'Sony'], ['Hannover', 'Lower Saxony'], ['Makassar', 'South Sulawesi'], ['Poland', 'NATO'], ['Poland', 'Europe'], ['German invasion', '22 June 1941'], ['Operation Barbarossa', '22 June 1941'], ['Iraq', 'Islam'], ['Brazil', 'Catholic Church'], ['Riksdag', 'Sweden'], ['Diet', 'Japan'], ['Ukrainian SSR', 'Soviet Union'], ['Canadian Army', 'Canadian Forces'], ['American', 'English'], ['Belarus', 'Russian'], ['EPL', 'Open Source Initiative'], ['GNU General Public License', 'Open Source Initiative'], ['Wrigley Field', 'Cubs'], ['Wrigley Field', 'Chicago Cubs'], ['Citizen Kane', 'Orson Welles'], ['She Hate Me', 'Spike Lee'], ['Doctor Who', 'Tom Baker'], ['Doctor Who', 'Patrick Troughton'], ['George Washington', 'Federalist Party'], ['Nelson Mandela', 'ANC'], ['Israel', 'Isaac'], ['Meg', 'Peter'], ['Victor Emmanuel III', 'Italy'], ['Umberto I', 'Italy'], ['John Zorn', 'saxophonist'], ['Brahms', 'pianist'], ['The Real McCoys', 'ABC'], ['Brookside', 'Channel 4'], ['Busan', 'Gyeongbu Line'], ['Springer Mountain', 'Appalachian Trail'], ['CT', 'American'], ['central time zone', 'Illinois']]",[Airline] has a hub in [Location],0,True
['Korean Air' 'Seoul'],0,"[['Dragonair', 'Hong Kong'], ['Hong Kong', 'Dragonair'], ['joint resolution', 'United States Congress'], ['joint resolution', 'Congress'], ['harp', 'Ireland'], ['Great Seal', 'United States'], ['Colorado Desert', 'Sonoran Desert'], ['main asteroid belt', 'Solar System'], ['Ruby', 'red'], ['Manchester United', 'red'], ['PlayStation 2', 'Sony'], ['PlayStation 2', 'Sony Computer Entertainment'], ['Accra', 'Ghana'], ['Agartala', 'Tripura'], ['Poland', 'United Nations'], ['Poland', 'European Union'], ['Operation Barbarossa', '22 June 1941'], ['German invasion', '22 June 1941'], ['Afghanistan', 'Islam'], ['Finland', 'Evangelical Lutheran Church'], ['Sejm', 'Poland'], ['Riksdag', 'Sweden'], ['Russia', 'Soviet Union'], ['Canadian Army', 'Canadian Forces'], ['Kerala', 'Malayalam'], ['Russia', 'Russian'], ['GNU General Public License', 'Open Source Initiative'], ['EPL', 'Open Source Initiative'], ['Wrigley Field', 'Chicago Cubs'], ['Yankee Stadium', 'Yankees'], ['Citizen Kane', 'Orson Welles'], ['She Hate Me', 'Spike Lee'], ['Doctor Who', 'Tom Baker'], ['Doctor Who', 'Patrick Troughton'], ['George Washington', 'Federalist Party'], ['Washington', 'Federalist Party'], ['Israel', 'Isaac'], ['Meg', 'Peter'], ['Victor Emmanuel III', 'Italy'], ['Victor Emmanuel II', 'Italy'], ['John Zorn', 'saxophonist'], ['Mozart', 'violin'], ['The Real McCoys', 'ABC'], ['The Real McCoys', 'CBS'], ['Busan', 'Gyeongbu Line'], ['Seoul', 'Gyeongbu Line'], ['CT', 'Mexico'], ['Central Time Zone', 'United States']]",[Airline] has a hub in [Location],0,True
['Korean Air' 'Seoul'],0,"[['Qantas', 'Singapore'], ['Singapore', 'Qantas'], ['joint resolution', 'Congress'], ['joint resolution', 'United States Congress'], ['harp', 'Ireland'], ['trident', 'Ukraine'], ['Mars', 'Solar System'], ['Colorado Desert', 'Sonoran Desert'], ['Kermit', 'greenness'], ['Liberal Party', 'red'], ['PlayStation 2', 'Sony'], ['PlayStation 2', 'Sony Computer Entertainment'], ['Baku', 'Azerbaijan'], ['Accra', 'Ghana'], ['Poland', 'United Nations'], ['Poland', 'Europe'], ['Operation Barbarossa', '22 June 1941'], ['German invasion', '22 June 1941'], ['Finland', 'Evangelical Lutheran Church'], ['Brazil', 'Catholic Church'], ['Sejm', 'Poland'], ['Parliament', 'Sri Lanka'], ['Canadian Army', 'Canadian Forces'], ['Russia', 'Soviet Union'], ['American', 'English'], ['Belarus', 'Russian'], ['zlib license', 'Open Source Initiative'], ['EPL', 'Open Source Initiative'], ['Wrigley Field', 'Cubs'], ['Yankee Stadium', 'Yankees'], ['The Godfather', 'Francis Ford Coppola'], ['She Hate Me', 'Spike Lee'], ['Doctor Who', 'Patrick Troughton'], ['Doctor Who', 'Tom Baker'], ['Nicolas Sarkozy', 'UMP'], ['George Washington', 'Federalist Party'], ['Israel', 'Isaac'], ['Meg', 'Peter'], ['Elizabeth II', 'Canada'], ['Umberto I', 'Italy'], ['Brahms', 'pianist'], ['Mozart', 'violin'], ['The Real McCoys', 'CBS'], ['Brookside', 'Channel 4'], ['Seoul', 'Gyeongbu Line'], ['Springer Mountain', 'Appalachian Trail'], ['CT', 'American'], ['CT', 'United States']]",[Airline] has a hub in [Location],0,True
['Korean Air' 'Seoul'],0,"[['Singapore Airlines', 'Singapore'], ['Singapore', 'Singapore Airlines'], ['joint resolution', 'United States Congress'], ['joint resolution', 'Congress'], ['Plantagenet', 'England'], ['harp', 'Ireland'], ['Mars', 'Solar System'], ['main asteroid belt', 'Solar System'], ['Liberal Party', 'red'], ['Manchester United', 'red'], ['PlayStation 2', 'Sony'], ['Macintosh', 'Apple'], ['Baku', 'Azerbaijan'], ['Accra', 'Ghana'], ['Poland', 'European Union'], ['Poland', 'United Nations'], ['German invasion', '22 June 1941'], ['Operation Barbarossa', '22 June 1941'], ['Turkey', 'Islam'], ['Iraq', 'Islam'], ['Majlis', 'Iran'], ['Congress', 'United States'], ['Royal Flying Corps', 'Royal Air Force'], ['Russia', 'Soviet Union'], ['Belarus', 'Russian'], ['Russia', 'Russian'], ['GNU General Public License', 'Open Source Initiative'], ['zlib license', 'Open Source Initiative'], ['Yankee Stadium', 'Yankees'], ['Wrigley Field', 'Cubs'], ['Citizen Kane', 'Orson Welles'], ['She Hate Me', 'Spike Lee'], ['Doctor Who', 'Tom Baker'], ['Doctor Who', 'Patrick Troughton'], ['Putin', 'Communist Party'], ['Andreas Papandreou', 'PASOK'], ['Meg', 'Peter'], ['Israel', 'Isaac'], ['Umberto I', 'Italy'], ['Victor Emmanuel II', 'Italy'], ['Brahms', 'pianist'], ['John Zorn', 'saxophonist'], ['The Real McCoys', 'CBS'], ['Brookside', 'Channel 4'], ['Springer Mountain', 'Appalachian Trail'], ['Seoul', 'Gyeongbu Line'], ['Central Time Zone', 'American'], ['central time zone', 'Indiana']]",[Airline] has a hub in [Location],0,True
['Asiana Airlines' 'Seoul'],0,"[['Cathay Pacific', 'Hong Kong'], ['Hong Kong', 'Cathay Pacific'], ['joint resolution', 'United States Congress'], ['joint resolution', 'Congress'], ['harp', 'Ireland'], ['Plantagenet', 'England'], ['DNA', 'genome'], ['main asteroid belt', 'Solar System'], ['Ruby', 'red'], ['Liberal Party', 'red'], ['Macintosh', 'Apple'], ['PlayStation 2', 'Sony'], ['Amman', 'Jordan'], ['Agartala', 'Tripura'], ['Poland', 'NATO'], ['Poland', 'Europe'], ['Operation Barbarossa', '22 June 1941'], ['German invasion', '22 June 1941'], ['Turkey', 'Islam'], ['Finland', 'Evangelical Lutheran Church'], ['Diet', 'Japan'], ['Knesset', 'Israel'], ['Russia', 'Soviet Union'], ['Ukrainian SSR', 'Soviet Union'], ['Belarus', 'Russian'], ['Ukraine', 'Russian'], ['GNU General Public License', 'Open Source Initiative'], ['zlib license', 'Open Source Initiative'], ['Yankee Stadium', 'Yankees'], ['Wrigley Field', 'Chicago Cubs'], ['Rocky', 'Sylvester Stallone'], ['Citizen Kane', 'Orson Welles'], ['Doctor Who', 'Tom Baker'], ['Doctor Who', 'Patrick Troughton'], ['Nelson Mandela', 'ANC'], ['Washington', 'Federalist Party'], ['Meg', 'Peter'], ['Israel', 'Isaac'], ['Victor Emmanuel II', 'Italy'], ['Victor Emmanuel III', 'Italy'], ['Brahms', 'pianist'], ['McCartney', 'piano'], ['The Real McCoys', 'CBS'], ['Brookside', 'Channel 4'], ['Seoul', 'Gyeongbu Line'], ['Busan', 'Gyeongbu Line'], ['central time zone', 'Indiana'], ['central time zone', 'Illinois']]",[Airline] has a hub in [Location],0,True
['Asiana Airlines' 'Seoul'],0,"[['Dragonair', 'Hong Kong'], ['Hong Kong', 'Dragonair'], ['joint resolution', 'Congress'], ['joint resolution', 'United States Congress'], ['trident', 'Ukraine'], ['Pahonia', 'Lithuania'], ['Colorado Desert', 'Sonoran Desert'], ['main asteroid belt', 'Solar System'], ['Liberal Party', 'red'], ['Ruby', 'red'], ['Macintosh', 'Apple'], ['PlayStation 2', 'Sony'], ['Accra', 'Ghana'], ['Hannover', 'Lower Saxony'], ['Poland', 'Europe'], ['Poland', 'United Nations'], ['Operation Barbarossa', '22 June 1941'], ['German invasion', '22 June 1941'], ['Iraq', 'Islam'], ['Afghanistan', 'Islam'], ['Sejm', 'Poland'], ['Diet', 'Japan'], ['Ukrainian SSR', 'Soviet Union'], ['Russia', 'Soviet Union'], ['American', 'English'], ['Ukraine', 'Russian'], ['GNU General Public License', 'Open Source Initiative'], ['zlib license', 'Open Source Initiative'], ['Wrigley Field', 'Cubs'], ['Wrigley Field', 'Chicago Cubs'], ['Raajneeti', 'Prakash Jha'], ['She Hate Me', 'Spike Lee'], ['Doctor Who', 'Patrick Troughton'], ['Doctor Who', 'Tom Baker'], ['Lenin', 'Communist Party'], ['Putin', 'Communist Party'], ['Israel', 'Isaac'], ['Meg', 'Peter'], ['Victor Emmanuel III', 'Italy'], ['Elizabeth II', 'Canada'], ['Brahms', 'pianist'], ['McCartney', 'piano'], ['The Real McCoys', 'ABC'], ['Brookside', 'Channel 4'], ['Seoul', 'Gyeongbu Line'], ['Busan', 'Gyeongbu Line'], ['CT', 'United States'], ['Central Time Zone', 'American']]",[Airline] has a hub in [Location],0,True
['Asiana Airlines' 'Seoul'],0,"[['Qantas', 'Singapore'], ['Singapore', 'Qantas'], ['joint resolution', 'United States Congress'], ['joint resolution', 'Congress'], ['Plantagenet', 'England'], ['Pahonia', 'Lithuania'], ['main asteroid belt', 'Solar System'], ['Colorado Desert', 'Sonoran Desert'], ['Kermit', 'greenness'], ['Manchester United', 'red'], ['Apple II', 'Apple'], ['PlayStation 2', 'Sony Computer Entertainment'], ['Makassar', 'South Sulawesi'], ['Baku', 'Azerbaijan'], ['Poland', 'European Union'], ['Poland', 'NATO'], ['Operation Barbarossa', '22 June 1941'], ['German invasion', '22 June 1941'], ['Afghanistan', 'Islam'], ['Finland', 'Evangelical Lutheran Church'], ['Majlis', 'Iran'], ['Sejm', 'Poland'], ['Royal Flying Corps', 'Royal Air Force'], ['Ukrainian SSR', 'Soviet Union'], ['Russia', 'Russian'], ['Ukraine', 'Russian'], ['GNU General Public License', 'Open Source Initiative'], ['zlib license', 'Open Source Initiative'], ['Yankee Stadium', 'Yankees'], ['Wrigley Field', 'Cubs'], ['Rocky', 'Sylvester Stallone'], ['Citizen Kane', 'Orson Welles'], ['Doctor Who', 'Tom Baker'], ['Doctor Who', 'Patrick Troughton'], ['Nicolas Sarkozy', 'UMP'], ['Joseph Stalin', 'Communist Party'], ['Meg', 'Peter'], ['Israel', 'Isaac'], ['Victor Emmanuel II', 'Italy'], ['Umberto I', 'Italy'], ['Beethoven', 'piano'], ['John Zorn', 'saxophonist'], ['The Real McCoys', 'ABC'], ['The Real McCoys', 'CBS'], ['Springer Mountain', 'Appalachian Trail'], ['Seoul', 'Gyeongbu Line'], ['Central Time Zone', 'United States'], ['central time zone', 'Illinois']]",[Airline] has a hub in [Location],0,True
['Asiana Airlines' 'Seoul'],0,"[['Air China', 'Beijing'], ['Beijing', 'Air China'], ['joint resolution', 'United States Congress'], ['joint resolution', 'Congress'], ['trident', 'Ukraine'], ['harp', 'Ireland'], ['Colorado Desert', 'Sonoran Desert'], ['Mars', 'Solar System'], ['Liberal Party', 'red'], ['Manchester United', 'red'], ['Apple II', 'Apple'], ['PlayStation 2', 'Sony'], ['Baku', 'Azerbaijan'], ['Hannover', 'Lower Saxony'], ['Poland', 'Europe'], ['Poland', 'NATO'], ['Operation Barbarossa', '22 June 1941'], ['German invasion', '22 June 1941'], ['Finland', 'Evangelical Lutheran Church'], ['Turkey', 'Islam'], ['Diet', 'Japan'], ['Knesset', 'Israel'], ['Ukrainian SSR', 'Soviet Union'], ['Russia', 'Soviet Union'], ['Ukraine', 'Russian'], ['Kerala', 'Malayalam'], ['EPL', 'Open Source Initiative'], ['zlib license', 'Open Source Initiative'], ['Wrigley Field', 'Chicago Cubs'], ['Wrigley Field', 'Cubs'], ['Rocky', 'Sylvester Stallone'], ['Citizen Kane', 'Orson Welles'], ['Doctor Who', 'Patrick Troughton'], ['Doctor Who', 'Tom Baker'], ['Putin', 'Communist Party'], ['Andreas Papandreou', 'PASOK'], ['Israel', 'Isaac'], ['Meg', 'Peter'], ['Victor Emmanuel III', 'Italy'], ['Umberto I', 'Italy'], ['Brahms', 'pianist'], ['Mozart', 'violin'], ['The Real McCoys', 'CBS'], ['Brookside', 'Channel 4'], ['Seoul', 'Gyeongbu Line'], ['Busan', 'Gyeongbu Line'], ['CT', 'Mexico'], ['Central Time Zone', 'United States']]",[Airline] has a hub in [Location],0,True
['Cathay Pacific' 'Hong Kong'],0,"[['Qantas', 'Singapore'], ['Singapore', 'Qantas'], ['joint resolution', 'United States Congress'], ['joint resolution', 'Congress'], ['Pahonia', 'Lithuania'], ['trident', 'Ukraine'], ['Mars', 'Solar System'], ['DNA', 'genome'], ['Kermit', 'greenness'], ['Ruby', 'red'], ['PlayStation 2', 'Sony Computer Entertainment'], ['Apple II', 'Apple'], ['Makassar', 'South Sulawesi'], ['Baku', 'Azerbaijan'], ['Poland', 'NATO'], ['Poland', 'United Nations'], ['German invasion', '22 June 1941'], ['Operation Barbarossa', '22 June 1941'], ['Finland', 'Evangelical Lutheran Church'], ['Brazil', 'Catholic Church'], ['Parliament', 'Sri Lanka'], ['Diet', 'Japan'], ['Canadian Army', 'Canadian Forces'], ['Royal Flying Corps', 'Royal Air Force'], ['Ukraine', 'Russian'], ['Russia', 'Russian'], ['GNU General Public License', 'Open Source Initiative'], ['EPL', 'Open Source Initiative'], ['Wrigley Field', 'Cubs'], ['Wrigley Field', 'Chicago Cubs'], ['Citizen Kane', 'Orson Welles'], ['The Godfather', 'Francis Ford Coppola'], ['Doctor Who', 'Tom Baker'], ['Doctor Who', 'Patrick Troughton'], ['Lenin', 'Communist Party'], ['Washington', 'Federalist Party'], ['Israel', 'Isaac'], ['Meg', 'Peter'], ['Umberto I', 'Italy'], ['Elizabeth II', 'Canada'], ['Nicky Hopkins', 'pianist'], ['Brahms', 'pianist'], ['Brookside', 'Channel 4'], ['The Real McCoys', 'ABC'], ['Busan', 'Gyeongbu Line'], ['Seoul', 'Gyeongbu Line'], ['CT', 'American'], ['CT', 'Canada']]",[Airline] has a hub in [Location],0,True
['Cathay Pacific' 'Hong Kong'],0,"[['Air China', 'Beijing'], ['Beijing', 'Air China'], ['joint resolution', 'United States Congress'], ['joint resolution', 'Congress'], ['trident', 'Ukraine'], ['Great Seal', 'United States'], ['Mars', 'Solar System'], ['Colorado Desert', 'Sonoran Desert'], ['Liberal Party', 'red'], ['Manchester United', 'red'], ['Apple III', 'Apple'], ['Apple II', 'Apple'], ['Baku', 'Azerbaijan'], ['Accra', 'Ghana'], ['Poland', 'NATO'], ['Poland', 'European Union'], ['Operation Barbarossa', '22 June 1941'], ['German invasion', '22 June 1941'], ['Turkey', 'Islam'], ['Iraq', 'Islam'], ['Majlis', 'Iran'], ['Congress', 'United States'], ['Canadian Army', 'Canadian Forces'], ['Royal Flying Corps', 'Royal Air Force'], ['Ukraine', 'Russian'], ['Belarus', 'Russian'], ['zlib license', 'Open Source Initiative'], ['EPL', 'Open Source Initiative'], ['Yankee Stadium', 'Yankees'], ['Wrigley Field', 'Chicago Cubs'], ['The Godfather', 'Francis Ford Coppola'], ['She Hate Me', 'Spike Lee'], ['Doctor Who', 'Tom Baker'], ['Doctor Who', 'Patrick Troughton'], ['Joseph Stalin', 'Communist Party'], ['Nelson Mandela', 'ANC'], ['Meg', 'Peter'], ['Israel', 'Isaac'], ['Umberto I', 'Italy'], ['Victor Emmanuel II', 'Italy'], ['John Zorn', 'saxophonist'], ['Brahms', 'pianist'], ['The Real McCoys', 'CBS'], ['The Real McCoys', 'ABC'], ['Busan', 'Gyeongbu Line'], ['Seoul', 'Gyeongbu Line'], ['CT', 'American'], ['central time zone', 'Illinois']]",[Airline] has a hub in [Location],0,True
