,concept:automobilemakerdealersincity,concept:automobilemakerdealersincountry,concept:geopoliticallocationresidenceofpersion,concept:politicianusendorsespoliticianus,concept:producedby,concept:teamcoach
0,"['Kia__Arlington', 'Kia__Austin', 'Kia__Mission', 'Kia__Killeen', 'Kia__Abilene', 'Kia__Amarillo', 'Kia__Pasadena', 'Kia__Tyler', 'Kia__Spring', 'Kia__Brownsville', 'Kia__Plano', 'Kia__Dallas', 'Kia__Odessa', 'Kia__Lubbock', 'Kia__Beaumont', 'Kia__Garland', 'Kia__Midland', 'Kia__Houston']","['Lotus__USA', 'Lexus__Canada', 'Buick__Canada', 'Buick__China', 'Kia__Korea', 'Kia__Canada', 'Chrysler__USA', 'Chrysler__U S', 'Chrysler__Canada', 'Jaguar__USA', 'Jaguar__Canada', 'Suzuki__Japan', 'Suzuki__Canada', 'Acura__Canada', 'Subaru__Canada', 'Cadillac__USA', 'Cadillac__Canada', 'Volkswagen__Germany', 'Volkswagen__Canada', 'Land Rover__Canada', 'Hyundai__Canada', 'Honda__USA', 'Honda__Canada', 'Porsche__Canada', 'Toyota__Malaysia', 'Toyota__USA', 'Toyota__South Africa', 'Toyota__U S', 'Toyota__Canada', 'Saab__USA', 'Saab__Sweden', 'Infiniti__Canada', 'Mini__Canada', 'Fiat__Canada', 'Audi__Canada', 'Benz__Germany', 'Nissan__USA', 'Nissan__Japan', 'Nissan__Canada', 'Daimler Ag__Canada', 'Mitsubishi__America', 'Mitsubishi__Canada', 'Dodge__USA', 'Dodge__Germany', 'Dodge__Canada', 'Dodge__Mexico', 'Chevrolet__Canada', 'Volvo__USA', 'Volvo__Canada', 'Mazda__USA', 'Mazda__America', 'Mazda__Canada', 'Maserati__Canada']","['Rhode Island__Republican', 'Connecticut__Republican', 'New Hampshire__Republican', 'Philadelphia__Michael Nutter', 'Philadelphia__Republican', 'North Carolina__Republican', 'Chicago South__Republican', 'South Minneapolis__Republican', 'Pennsylvania__Republican', 'Massachusetts__Republican', 'West Virginia__Republican', 'North Dakota__Republican']","['Gore__Hillary', 'Gore__President Bush', 'Gore__Vice President Cheney', 'Gore__Clinton', 'Gore__Former President Bill Clinton', 'Gore__Former President Clinton', 'Gore__Hillary Clinton', 'Gore__President Jimmy Carter', 'Gore__Bill Clinton']","['Windstar__Ford', 'Explorer__Ford', 'Aerostar__Ford', 'Five Hundred__Ford', 'Nissan Versa__Ford', 'Windstar Wagon__Ford', 'Transit Connect Wagon__Ford', 'Cortina__Ford', 'Expedition__Ford', 'F 150__Ford', 'F 100__Ford', 'F 450__Ford', 'Freestyle__Ford', 'Explorer Sport__Ford', 'Toyota Prius__Ford', 'Ford Fusion__Ford', 'F 100 Pickup__Ford', 'Ranchero__Ford', 'Super Duty F 250__Ford', 'E 100 Econoline__Ford', 'E 350 Econoline__Ford', 'Transit Connect__Ford', 'E 250 Econoline__Ford', 'E 150 Econoline__Ford', 'Bronco Ii__Ford', 'Ford Mustang__Ford', 'Fusion Hybrid__Ford', 'Fiesta__Ford', 'Mustang__Ford', 'Econoline Cargo Van__Ford', 'Contour__Ford', 'Expedition El__Ford', 'Granada__Ford', 'Ford Explorer__Ford', 'F Series__Ford', 'Honda Fit__Ford', 'Zx2__Ford', 'Super Duty F 450 Drw__Ford', 'Econoline Wagon__Ford', 'Festiva__Ford', 'Fairlane__Ford', 'Honda Accord__Ford', 'Courier__Ford', 'Country Squire__Ford', 'Ltd Ii__Ford', 'Club Wagon__Ford', 'Thunderbird__Ford']","['Cavaliers__Lebron James', 'Southern Miss Lady Golden Eagles__Larry Fedora', 'Diamondbacks__Ryan Webb', 'Hawks Los Angeles Lakers Vs__Mike Woodson', 'Wildcats__Lute Olson', 'Los Angeles Lakers__Ike Brown', 'Los Angeles Lakers__Kurt Rambis', 'Washington Capitals__Bruce Boudreau', 'Tcu Horned Frogs__Gary Patterson', 'Stanford Cardinals__Trent Johnson', 'Boston Celtics__Doc Rivers', 'Pittsburgh Penguins__Michel Therrien', 'Seminoles__Bobby Bowden', 'Wake Forest University__Skip Prosser', 'Wake Forest University__Jim Grobe', 'Louisiana Technical College Bastrop Campus__Derek Dooley', 'Louisiana Technical College Bastrop Campus__Sonny Dykes', 'Cal Poly__Tim Walsh', 'Ole Miss__Houston Nutt', 'Ole Miss__Hugh Freeze', 'Ole Miss__Ed Orgeron', 'Kansas State__Bill Snyder', 'Kansas State__Ron Prince', 'Ex Pittsburgh Steelers__Chuck Noll', 'Ex Pittsburgh Steelers__Mike Tomlin', 'Ex Pittsburgh Steelers__Bill Cowher', 'New York Mets__Barry Bonds', 'New York Mets__Mike Pelfrey', 'New York Mets__Jason Bay', 'New York Mets__Lastings Milledge', 'New York Mets__Andres Torres', 'New York Mets__Jorge Posada', 'New York Mets__Francisco Liriano', 'New York Jets__Eric Mangini', 'New York Jets__Tim Tebow', 'Memphis Grizzlies__Marc Iavaroni', 'St Louis Rams__Scott Linehan', 'St Louis Rams__Steve Spagnuolo', 'Florida Gators__Billy Donovan', 'Florida Gators__Urban Meyer', 'Princeton__Bill Tierney', 'Tampa Bay Devil Rays__Matt Garza', 'Philadelphia Eagles__Andy Reid', 'Ohio State University__Luke Fickell', 'Ohio State University__Jim Tressel', 'Maryland__Ralph Friedgen', 'San Diego Padres__Mark Kotsay', 'San Diego Padres__Tony Gwynn', 'San Diego Padres__Kyle Blanks', 'Florida State__Leonard Hamilton', 'Florida State__Jimbo Fisher', 'Bad Cubs__Ted Lilly', 'Bad Cubs__Moises Alou', 'Red Sox__Dontrelle Willis', 'Red Sox__Josh Beckett', 'Red Sox__Alex Auld', 'Red Sox__Cj Watson', 'Red Sox__Logan Kensing', 'Utah State__Gary Andersen', 'Utah State__Brent Guy', '1935 The Detroit Tigers__Brett Myers', 'Colorado Rockies__Dexter Fowler', 'Colorado Rockies__Ubaldo Jimenez', 'Colorado Rockies__Josh Williams', 'Colorado Rockies__J D Drew', 'Colorado Rockies__Seth Smith', 'Kentucky Wildcats__Billy Gillispie', 'Former San Francisco Giants__Gary Carter', 'Seattle Mariners__Chone Figgins', 'Seattle Mariners__Franklin Gutierrez', 'Seattle Mariners__Eric Milton', 'Seattle Mariners__Felix Hernandez', 'Seattle Mariners__Raul Ibanez', 'Utah Jazz__Jerry Sloan', 'Chicago Cardinals__Colby Rasmus', 'Chicago Cardinals__Ryan Ludwick', 'Chicago Cardinals__Dominique Rodgers Cromartie', 'Chicago Cardinals__Rick Pitino', 'Chicago Cardinals__Ken Whisenhunt', 'Chicago Cardinals__Mike Schmidt', 'Chicago Cardinals__Lance Berkman', 'St Louis Rams__Mike Martz', 'Ottawa Senators__Craig Hartsburg', 'Tampa Bay Bucs__Raheem Morris', 'Tampa Bay Bucs__Jon Gruden', 'Duke University__David Cutcliffe', 'Duke University__Mike Krzyzewski', 'Nc State__Kay Yow', 'Washington Huskies__Steve Sarkisian', 'Notre Dame__Tyrone Willingham', 'Notre Dame__Lou Holtz', 'Notre Dame__Mike Brey', 'Notre Dame__Frank Leahy', 'Notre Dame__Digger Phelps', 'Notre Dame__Charlie Weis', 'Texas Tech Red Raiders__Mike Leach', 'White Sox__Mark Buehrle', 'White Sox__Willie Hernandez', 'White Sox__C J Wilson', 'White Sox__Jermaine Dye', 'New Orleans Saints__Sean Payton', 'New Orleans Saints__Joe Vitt', 'New Orleans Saints__Mike Ditka', 'Harvard School Of Dental Medicine__Tommy Amaker', 'Atlanta Braves__Jason Heyward', 'Michigan State__Tom Izzo', 'Michigan State__John L Smith', 'Michigan State__Mark Dantonio', 'Oregon Ducks__Chip Kelly', 'Towson University__Pat Kennedy', 'Western Kentucky Hilltoppers__Willie Taggart', 'Western Kentucky Hilltoppers__Darrin Horn', 'Kings College__Terry Murray', 'Milwaukee Bucks NBA__Larry Krystkowiak', 'Kansas City Chiefs__Herm Edwards', 'Kansas City Chiefs__Todd Haley', 'Oakland A S__Doc Holliday', 'Sacramento Kings__Reggie Theus', 'Maple Leafs__Randy Carlyle', 'San Jose Sharks__Al Arbour', 'Nittany Lions__Joe Paterno', 'Miami Dolphins__Cam Cameron', 'Arkansas Razorbacks__Nolan Richardson', 'Arkansas Razorbacks__Bobby Petrino', 'Dallas Mavericks Tv Watch__Josh Howard', 'Knights Of Pythias__George O Leary', 'Csu Pueblo Thunderwolves__Steve Fairchild', 'Penn State__Bill O Brien', 'Penn State__Jerry Sandusky', 'Columbus Blue Jackets__Ken Hitchcock', 'Colorado State__Sonny Lubick', 'Alabama Crimson Tide__Nick Saban', 'Washington Wizards__Ed Tapscott', 'Washington Wizards__Al Harrington', 'Minnesota Vikings__Brad Childress', 'Minnesota Vikings__Mike Tice', 'Minnesota Vikings__Leslie Frazier', 'Minnesota Vikings__Bud Grant', 'New England Patriots__Jim Haslett', 'New England Patriots__Bill Belichick', 'Indiana University__Bobby Knight', 'Indiana University__Bob Knight', 'Indiana University__Tom Crean', 'Boston Red__Jim Rice', 'Mississippi State University__Sylvester Croom', 'New Orleans Hornets__Byron Scott', 'Boise State__Dan Hawkins', 'Boise State__Chris Peterson', 'Boise State__Chris Petersen', 'Houston Texans__Dom Capers', 'Carolina Panthers__John Fox', 'Georgetown University__John Thompson Iii', 'San Diego Chargers Tickets__Norv Turner', 'San Diego Chargers Tickets__Marty Schottenheimer', 'Cleveland Browns__Butch Davis', 'Cleveland Browns__Romeo Crennel', 'Cleveland Browns__Paul Brown', 'Oakland Raiders__Tom Cable', 'Oakland Raiders__Hue Jackson', 'Oakland Raiders__John Madden', 'Oakland Raiders__Art Shell', 'Los Angeles Galaxy__Bruce Arena', 'Detroit Lions__Rod Marinelli', 'Detroit Lions__Steve Mariucci', 'Detroit Lions__Jim Schwartz', 'Portland Trail Blazers Tickets__Nate Mcmillan', 'Iowa State__Larry Eustachy', 'Iowa State__Greg Mcdermott', 'Iowa State__Paul Rhoads', 'Iowa State__Dan Mccarney', 'Panthers 31 18__Dave Wannstedt', 'Anaheim Angels__Vladimir Guerrero', 'Carolina Hurricanes Live Online__Paul Maurice', 'Oklahoma State__Mike Gundy', 'Oklahoma State__Eddie Sutton', 'Texas A M__Dennis Franchione', 'Texas A M__R C Slocum', 'Oregon State__Craig Robinson', 'San Diego State__Tom Craft', 'San Diego State__Chuck Long', 'Blackhawks__Denis Savard', 'Boston Bruins__Claude Julien', 'Jacksonville Jaguars__Jack Del Rio', 'Washington State__Paul Wulff', 'Washington State__Mike Price', 'Chicago Bulls__Scott Skiles', 'Chicago Bulls__Jim Leavitt', 'Chicago Bulls__Phil Jackson', 'Chicago Bulls__Tom Thibodeau', 'Chicago Bulls__Vinny Del Negro', 'Kent State Golden Flashes__Doug Martin', 'New York Giants__Jim Fassel', 'New York Giants__Angel Pagan', 'New York Giants__Tom Coughlin', 'New York Giants__Jonathan Sanchez', 'New York Giants__Coughlin', 'New York Giants__Barry Zito', 'New York Giants__Mike Shanahan', 'New York Giants__Ray Perkins', 'New York Giants__Drew Bledsoe', 'Georgia Tech__Chan Gailey', 'Georgia Tech__Paul Hewitt', 'Georgia Tech__Paul Johnson', 'Buccaneers__John Gruden', 'Seattle Seahawks 21 10__Jim Mora', 'Seattle Seahawks 21 10__Mike Holmgren', 'Carolina__Roy Williams', 'Dallas Mavericks__Avery Johnson', 'Timberwolves__Randy Wittman', 'Texas Rangers__Todd Coffey', 'Baylor University In Waco__Art Briles', 'Baylor University In Waco__Dave Bliss', 'Blue Jays__Adam Lind', 'Blue Jays__Vernon Wells', 'Blue Jays__Roy Halladay', 'Texas Longhorns__Mack Brown', 'Ball State University__Brady Hoke', 'Ball State University__Stan Parrish', 'Cowboys 19 13__Bill Parcells', 'Cowboys 19 13__Dave Campo', 'Cowboys 19 13__Bill Walsh', 'Cowboys 19 13__Jason Garrett', 'Cowboys 19 13__Jimmy Johnson', 'Cowboys 19 13__Wade Phillips', 'Red Wings__Mike Babcock', 'Houston Astros__Michael Bourn', 'Boston College__Jeff Jagodzinski', 'Boston College__Tom O Brien', 'Boston College__Al Skinner', 'Stanford__Johnny Dawkins', 'Stanford__David Carr', 'Stanford__Jim Harbaugh', 'Philadelphia Phillies__Victorino', 'Chicago Cubs__Marlon Byrd', 'Wolfpack__Chuck Amato', 'Georgia Bulldogs__Dennis Felton', 'Georgia Bulldogs__Pat Hill', 'Georgia Bulldogs__Mark Richt', 'Georgia State__Bill Curry', 'Denver Nuggets__George Karl']"
1,"['Acura__Phoenix Arizona', 'Acura__Hawaii', 'Acura__Newcastle', 'Acura__Buffalo', 'Acura__Seattle', 'Acura__Dallas', 'Acura__Orlando', 'Acura__Hoffman Estates', 'Acura__Boulder Colorado', 'Acura__Denver', 'Acura__Honolulu', 'Acura__Mississippi', 'Acura__Alabama', 'Acura__South Portland', 'Acura__Colorado Springs Colorado', 'Acura__Schaumburg', 'Acura__Los Angeles California', 'Acura__Libertyville', 'Acura__Austin', 'Acura__Wheaton', 'Acura__Cleveland', 'Acura__Westmont', 'Acura__Georgia', 'Acura__Indianapolis', 'Acura__Bozeman', 'Acura__Oak Lawn', 'Acura__Arlington Heights', 'Acura__Newark', 'Acura__Lancaster', 'Acura__Chicago South', 'Acura__Kansas', 'Acura__Naperville', 'Acura__Augusta', 'Acura__Philadelphia', 'Acura__New York', 'Acura__Phoenix', 'Acura__Atlanta', 'Acura__Las Vegas', 'Acura__San Diego', 'Acura__Portland', 'Acura__Wilmington', 'Acura__Los Angeles Ca', 'Acura__Kailua Kona', 'Acura__Houston']","['Lotus__UK', 'Lexus__UK', 'Range Rover__UK', 'Citroen__UK', 'Kia__UK', 'Think__UK', 'Chrysler__UK', 'Jaguar__UK', 'Suzuki__UK', 'Skoda__UK', 'Vauxhall__UK', 'Rover__UK', 'Volkswagen__UK', 'Lancia__UK', 'Land Rover__UK', 'Hyundai__UK', 'Honda__UK', 'Porsche__UK', 'Toyota__UK', 'Lamborghini__UK', 'Saab__UK', 'Infiniti__UK', 'Opel__UK', 'Mini__UK', 'Fiat__UK', 'Alfa__UK', 'Audi__UK', 'Nissan__UK', 'Proton__UK', 'Abarth__UK', 'Dodge__UK', 'Chevrolet__UK', 'Daimler Benz__UK', 'Dacia__UK', 'Mazda__UK']","['United Arab Emirates__Mohammed Bin Rashid Al Maktoum', 'West Jordan__Larry I Rougle', 'North Carolina__Jesse Helms', 'Sri Lanka__Arthur C Clarke', 'Los Angeles Ca__Antonio Villaraigosa', 'Los Angeles Ca__Richard Riordan', 'New Jersey__Woodrow Wilson']","['President George W Bush__Gore', 'John Mccain__Gore', 'Hillary__Gore', 'Clinton__Gore', 'Former President Bill Clinton__Gore', 'Former President Clinton__Gore', 'Hillary Clinton__Gore', 'George W Bush__Gore', 'President Bush__Gore', 'Bill Clinton__Gore', 'Barack Obama__Gore', 'President Jimmy Carter__Gore', 'John Kerry__Gore']","['Explorer__Microsoft', 'Microsoft Office Outlook__Microsoft', 'Microsoft Visio__Microsoft', 'Microsoft Small Business Server__Microsoft', 'Windows 2__Microsoft', 'Ms Outlook__Microsoft', 'Active Server Pages__Microsoft', 'Windows Mobile__Microsoft', 'Adobe Golive__Microsoft', 'Microsoft Office__Microsoft', 'Powerpoint__Microsoft', 'Adobe Acrobat Reader__Microsoft', 'Pdf File__Microsoft', 'Office Communications Server__Microsoft', 'Xbox 360__Microsoft', 'Wii Games__Nintendo', 'Lotus Notes__Microsoft', 'Outlook Mobile__Microsoft', 'Internet Explorer__Microsoft', 'Microsoft Frontpage__Microsoft', 'Adobe Illustrator__Microsoft', 'Novell Groupwise__Microsoft', 'Adobe Photoshop__Microsoft', 'Microsoft Windows__Microsoft', 'Netscape Gold__Microsoft', 'Expression Web__Microsoft', 'Microsoft Internet Explorer__Microsoft', 'Microsoft Access__Microsoft', 'Office Excel__Microsoft', 'Office 2__Microsoft', 'Acrobat Reader__Microsoft', 'Volkswagen Golf__Volkswagen', 'Office Software__Microsoft', 'Microsoft Paint__Microsoft', 'Systems Management Server__Microsoft', 'Adobe Pagemaker__Microsoft', 'Netscape Composer__Microsoft', 'Microsoft Exchange__Microsoft', 'Guitar Hero__Activision', 'Dreamweaver__Microsoft', 'Macintosh__Microsoft', 'Quickbooks__Microsoft', 'Exchange__Microsoft', 'Microsoft Excel__Microsoft', 'Wii Console__Nintendo', 'Microsoft Windows Server 2__Microsoft', 'Adobe Photoshop Elements__Microsoft', 'Media Player__Microsoft', 'Visual Studio Net__Microsoft', 'Macromedia Dream Weaver__Microsoft', 'Microsoft Powerpoint__Microsoft', 'Outlook Email__Microsoft', 'Adobe Creative Suite__Microsoft', 'Front Page__Microsoft', 'Active Directory__Microsoft', 'Visual Basic__Microsoft']","['Dodgers__Jayson Werth', 'Dodgers__Michael Clayton', 'Dodgers__Jerry Sands', 'Dodgers__Dave Roberts', 'Dodgers__Shawn Green', 'Dodgers__Shawn Estes']"
2,"['Honda__Seattle', 'Honda__Dallas', 'Honda__Orlando', 'Honda__Sacramento', 'Honda__San Francisco', 'Honda__San Antonio', 'Honda__Fort Worth', 'Honda__Indianapolis', 'Honda__Albuquerque', 'Honda__Denver', 'Honda__Memphis', 'Honda__Knoxville', 'Honda__Lancaster', 'Honda__Atlanta', 'Honda__Philadelphia', 'Honda__Phoenix', 'Honda__Columbus', 'Honda__South Minneapolis', 'Honda__Fort Lauderdale', 'Honda__San Diego', 'Honda__Jacksonville', 'Honda__Kansas City', 'Honda__Wilmington', 'Honda__Fredericksburg', 'Honda__Bakersfield', 'Honda__San Luis Obispo', 'Honda__Houston']",,,"['Presidential Candidate John Mccain__Palin', 'Sen Mccain__Palin', 'John Mccain__Palin', 'Republican Presidential Nominee John Mccain__Palin', 'Mr Mccain__Palin', 'President Bush__Palin', 'Barack Obama__Palin', 'Senator John Mccain__Palin', 'Senator Mccain__Palin', 'Presidential Nominee John Mccain__Palin', 'Sarah Palin__Palin']","['Mitsubishi Lancer__Toyota', 'Nissan Murano__Nissan', 'Toyota Matrix__Toyota', 'Toyota Corolla__Toyota', 'Toyota Tacoma__Toyota', 'Nissan Maxima__Nissan', 'Toyota Prius__Toyota', 'Land Cruiser__Toyota', 'Highlander Hybrid__Toyota', 'Toyota Highlander__Toyota', 'Ford Explorer__Toyota', 'Ford Taurus__Toyota', 'Honda Fit__Toyota', 'Toyota Highlander Hybrid__Toyota', 'Toyota Camry__Toyota', 'Toyota Avalon__Toyota']",
3,"['Toyota__Seattle', 'Toyota__Chicago South', 'Toyota__Sacramento', 'Toyota__San Diego', 'Toyota__Portland', 'Toyota__Los Angeles Ca', 'Toyota__Houston', 'Nissan__Arlington', 'Nissan__Austin', 'Nissan__Phoenix Arizona', 'Nissan__San Antonio', 'Nissan__Pasadena', 'Nissan__Tucson Arizona', 'Nissan__Seattle', 'Nissan__New Orleans', 'Nissan__Worcester', 'Nissan__Indianapolis', 'Nissan__Beaumont', 'Nissan__San Diego California', 'Nissan__Boulder Colorado', 'Nissan__Amarillo', 'Nissan__Brownsville', 'Nissan__Lubbock', 'Nissan__Atlanta Georgia', 'Nissan__Orlando Florida', 'Nissan__Garland', 'Nissan__Los Angeles California', 'Nissan__Philadelphia', 'Nissan__San Diego', 'Nissan__Midland', 'Nissan__Lunenburg', 'Nissan__Houston', 'Nissan__Miami Florida']",,,"['President George W Bush__Bush', 'Gerald Ford__Bush', 'Jimmy Carter__Bush', 'Clinton__Bush', 'John Ashcroft__Bush', 'Ronald Reagan__Bush', 'James Baker__Bush', 'Former President Bill Clinton__Bush', 'Former President Clinton__Bush', 'President Clinton__Bush', 'Presidents Reagan__Bush', 'Colin Powell__Bush', 'Bill Clinton__Bush', 'Senator Mccain__Bush', 'John Kerry__Bush', 'Dick Cheney__Bush']","['Honda Cr V__Honda', 'Volkswagen Passat__Honda', 'Honda Civic__Honda', 'Nissan Maxima__Honda', 'Civic Hybrid__Honda', 'Ford Fusion__Honda', 'Civic Si__Honda', 'Hyundai Sonata__Honda', 'Honda Fit__Honda', 'Honda Accord__Honda']",
4,"['Chevrolet__Seattle', 'Chevrolet__Indianapolis', 'Chevrolet__Detroit', 'Chevrolet__Milwaukee', 'Chevrolet__Oklahoma City', 'Chevrolet__Philadelphia', 'Chevrolet__Baltimore', 'Chevrolet__Louisville', 'Chevrolet__Houston']",,,"['Mccain__Gov Sarah Palin', 'Mccain__Democrat Obama', 'Mccain__Barrack Obama', 'Mccain__Governor Sarah Palin', 'Mccain__Candidate Barack Obama', 'Mccain__Clinton', 'Mccain__Senator Obama', 'Mccain__Fred Thompson', 'Mccain__Nominee Barack Obama', 'Mccain__Democratic Presidential Candidate Barack Obama', 'Mccain__Presidential Candidate Barack Obama', 'Mccain__Joe Lieberman', 'Mccain__Dick Cheney', 'Mccain__President George W Bush', 'Mccain__President Elect Barack Obama', 'Mccain__Democrat Barack Obama']",,
5,,,,"['Bush__Hillary', 'Bush__Michael Moore', 'Bush__Colin Powell', 'Bush__Herbert Hoover', 'Bush__President Bush', 'Bush__President Clinton', 'Bush__Senator John Mccain', 'Bush__Vice President Al Gore', 'Bush__Former President Bush', 'Bush__Clinton', 'Bush__Senator John Kerry', 'Bush__Senator Kerry', 'Bush__Senator Clinton', 'Bush__Karl Rove', 'Bush__President George Bush', 'Bush__Former President Bill Clinton', 'Bush__Lieberman', 'Bush__Ronald Reagan', 'Bush__Vice President Dick Cheney', 'Bush__Former President Clinton', 'Bush__Former President George Bush', 'Bush__Santorum', 'Bush__Mitt Romney', 'Bush__President Elect Obama', 'Bush__George W Bush', 'Bush__Rudy Giuliani', 'Bush__Dick Cheney', 'Bush__John Ashcroft', 'Bush__Senator Mccain', 'Bush__John Mccain', 'Bush__Jeb Bush', 'Bush__President George W Bush', 'Bush__President Jimmy Carter', 'Bush__Donald Rumsfeld', 'Bush__John Kerry', 'Bush__Al Gore', 'Bush__Bill Clinton']",,
6,,,,"['Kennedy__Mccain', 'Democratic Presidential Nominee Barack Obama__Mccain', 'Joe Biden__Mccain', 'Barrack Obama__Mccain', 'President George W Bush__Mccain', 'Senator Hillary Clinton__Mccain', 'Governor Sarah Palin__Mccain', 'John Mccain__Mccain', 'Clinton__Mccain', 'Hillary Clinton__Mccain', 'Senator Barack Obama__Mccain', 'Nominee Barack Obama__Mccain', 'George W Bush__Mccain', 'Colin Powell__Mccain', 'Alaska Gov Sarah Palin__Mccain', 'Hopeful Barack Obama__Mccain', 'President George Bush__Mccain', 'Alaska Governor Sarah Palin__Mccain', 'Barack Obama__Mccain', 'President Elect Barack Obama__Mccain', 'Democrat Barack Obama__Mccain', 'Hillary Rodham Clinton__Mccain', 'Gov Sarah Palin__Mccain', 'Joe Lieberman__Mccain', 'Lindsey Graham__Mccain', 'Democrat Obama__Mccain', 'Hilary Clinton__Mccain', 'Mike Huckabee__Mccain', 'Fred Thompson__Mccain', 'Rudy Giuliani__Mccain', 'Sarah Palin__Mccain', 'Dick Cheney__Mccain', 'Mitt Romney__Mccain', 'Presidential Candidate Barack Obama__Mccain']",,
7,,,,"['Palin__Mr Mccain', 'Palin__Sen Mccain', 'Palin__President Bush', 'Palin__Senator John Mccain', 'Palin__Clinton', 'Palin__President Obama', 'Palin__Presidential Candidate John Mccain', 'Palin__Senator Mccain', 'Palin__John Mccain', 'Palin__Republican Presidential Nominee John Mccain', 'Palin__Presidential Nominee John Mccain']",,
8,,,,"['John Mccain__Romney', 'Clinton__Romney', 'Hillary Clinton__Romney', 'Herman Cain__Romney', 'Rick Santorum__Romney', 'Barack Obama__Romney', 'Donald Trump__Romney', 'Senator John Mccain__Romney', 'Senator Mccain__Romney', 'Tim Pawlenty__Romney', 'Mike Huckabee__Romney', 'Rudy Giuliani__Romney', 'Jeb Bush__Romney', 'Mitt Romney__Romney']",,
9,,,,"['Clinton__Abraham Lincoln', 'Clinton__Jon Stewart', 'Clinton__Michael Moore', 'Clinton__Gloria Steinem', 'Clinton__Colin Powell', 'Clinton__Bill Bradley', 'Clinton__Barrack Obama', 'Clinton__Charles Schumer', 'Clinton__President Bush', 'Clinton__Bill Richardson', 'Clinton__Chris Dodd', 'Clinton__Richard Nixon', 'Clinton__Wesley Clark', 'Clinton__President Clinton', 'Clinton__Howard Dean', 'Clinton__President Barack Obama', 'Clinton__Candidate Barack Obama', 'Clinton__Former President Bush', 'Clinton__George H W Bush', 'Clinton__Bob Dole', 'Clinton__Senator Kerry', 'Clinton__Condoleezza Rice', 'Clinton__Senator Obama', 'Clinton__President Barack', 'Clinton__Fred Thompson', 'Clinton__Senator Clinton', 'Clinton__Jesse Jackson', 'Clinton__Tipper Gore', 'Clinton__Former President Bill Clinton', 'Clinton__Barack Obama', 'Clinton__U S President Bill Clinton', 'Clinton__President George H Bush', 'Clinton__Caroline Kennedy', 'Clinton__Senator Joe Biden', 'Clinton__Former President Clinton', 'Clinton__Joe Biden', 'Clinton__Nominee Barack Obama', 'Clinton__Democratic Presidential Candidate Barack Obama', 'Clinton__Former President George Bush', 'Clinton__Laura Bush', 'Clinton__President Elect Obama', 'Clinton__Presidential Candidate Barack Obama', 'Clinton__Barack Hussein', 'Clinton__Joe Lieberman', 'Clinton__Rudy Giuliani', 'Clinton__John F Kennedy', 'Clinton__Senator Hillary Clinton', 'Clinton__Senator Mccain', 'Clinton__John Mccain', 'Clinton__Sen Barack', 'Clinton__Candidates Barack Obama', 'Clinton__President George W Bush', 'Clinton__Martin Luther King', 'Clinton__George Washington', 'Clinton__President Jimmy Carter', 'Clinton__George W Bush', 'Clinton__President Elect Barack Obama', 'Clinton__Barney Frank', 'Clinton__Ted Kennedy', 'Clinton__Eliot Spitzer', 'Clinton__Al Gore', 'Clinton__Harry Reid', 'Clinton__Sen Barack Obama', 'Clinton__Michael Jordan', 'Clinton__Harry Truman', 'Clinton__Mark Warner', 'Clinton__Mike Huckabee', 'Clinton__Hillary Rodham Clinton']",,
