stem,answer,choice,prefix,prediction,accuracy
['hitler' 'dictator'],0,"[['strauss', 'composer'], ['kepler', 'hegel'], ['wagner', 'beethoven'], ['ecuador', 'spanish']]",./cache/BATS_3.0/3_Encyclopedic_semantics/E05 [name - occupation].txt,3,False
['rousseau' 'writer'],3,"[['cattle', 'calf'], ['edison', 'hawking'], ['rembrandt', 'picasso'], ['hegel', 'philosopher']]",./cache/BATS_3.0/3_Encyclopedic_semantics/E05 [name - occupation].txt,3,True
['kant' 'philosopher'],0,"[['lincoln', 'president'], ['darwin', 'dickens'], ['cattle', 'calf'], ['maxwell', 'balzac']]",./cache/BATS_3.0/3_Encyclopedic_semantics/E05 [name - occupation].txt,3,False
['stalin' 'dictator'],1,"[['hegel', 'german'], ['hawking', 'physicist'], ['tolstoi', 'wittgenstein'], ['pascal', 'confucius']]",./cache/BATS_3.0/3_Encyclopedic_semantics/E05 [name - occupation].txt,3,False
['descartes' 'mathematician'],0,"[['dante', 'poet'], ['rousseau', 'einstein'], ['mencius', 'spinoza'], ['beijing', 'china']]",./cache/BATS_3.0/3_Encyclopedic_semantics/E05 [name - occupation].txt,3,False
['spinoza' 'philosopher'],3,"[['darwin', 'napoleon'], ['monkey', 'infant'], ['maxwell', 'einstein'], ['shakespeare', 'playwright']]",./cache/BATS_3.0/3_Encyclopedic_semantics/E05 [name - occupation].txt,3,True
['truman' 'president'],3,"[['bee', 'buzz'], ['euler', 'beethoven'], ['rembrandt', 'confucius'], ['hawking', 'physicist']]",./cache/BATS_3.0/3_Encyclopedic_semantics/E05 [name - occupation].txt,3,True
['beethoven' 'composer'],3,"[['god', 'goddess'], ['rembrandt', 'napoleon'], ['pascal', 'jolie'], ['columbus', 'explorer']]",./cache/BATS_3.0/3_Encyclopedic_semantics/E05 [name - occupation].txt,3,True
['hume' 'philosopher'],2,"[['andersen', 'picasso'], ['hitler', 'balzac'], ['shakespeare', 'playwright'], ['switzerland', 'german']]",./cache/BATS_3.0/3_Encyclopedic_semantics/E05 [name - occupation].txt,3,False
['tolstoi' 'novelist'],1,"[['maxwell', 'descartes'], ['confucius', 'philosopher'], ['pascal', 'michelangelo'], ['chichester', 'sussex']]",./cache/BATS_3.0/3_Encyclopedic_semantics/E05 [name - occupation].txt,3,False
['newton' 'scientist'],1,"[['fox', 'howl'], ['caesar', 'emperor'], ['aristotle', 'raphael'], ['andersen', 'wittgenstein']]",./cache/BATS_3.0/3_Encyclopedic_semantics/E05 [name - occupation].txt,3,False
['confucius' 'philosopher'],3,"[['pascal', 'hawking'], ['headmaster', 'headmistress'], ['goethe', 'beethoven'], ['edison', 'inventor']]",./cache/BATS_3.0/3_Encyclopedic_semantics/E05 [name - occupation].txt,3,True
['einstein' 'physicist'],2,"[['bee', 'larva'], ['schwarzenegger', 'napoleon'], ['pascal', 'mathematician'], ['locke', 'confucius']]",./cache/BATS_3.0/3_Encyclopedic_semantics/E05 [name - occupation].txt,3,False
['hawking' 'physicist'],2,"[['blood', 'red'], ['andersen', 'beethoven'], ['pacino', 'actor'], ['lincoln', 'balzac']]",./cache/BATS_3.0/3_Encyclopedic_semantics/E05 [name - occupation].txt,3,False
['moses' 'prophet'],1,"[['kepler', 'confucius'], ['shakespeare', 'playwright'], ['euler', 'wittgenstein'], ['cockroach', 'nest']]",./cache/BATS_3.0/3_Encyclopedic_semantics/E05 [name - occupation].txt,3,False
['wagner' 'composer'],0,"[['michelangelo', 'sculptor'], ['tolstoi', 'descartes'], ['strauss', 'austrian'], ['kant', 'spinoza']]",./cache/BATS_3.0/3_Encyclopedic_semantics/E05 [name - occupation].txt,3,False
['pacino' 'actor'],3,"[['aristotle', 'dickens'], ['beaver', 'kit'], ['darwin', 'napoleon'], ['kepler', 'mathematician']]",./cache/BATS_3.0/3_Encyclopedic_semantics/E05 [name - occupation].txt,3,True
['jolie' 'actress'],3,"[['andorra', 'catalan'], ['maxwell', 'moses'], ['mencius', 'caesar'], ['michelangelo', 'sculptor']]",./cache/BATS_3.0/3_Encyclopedic_semantics/E05 [name - occupation].txt,3,True
['dickens' 'novelist'],2,"[['sapphire', 'blue'], ['goethe', 'confucius'], ['spinoza', 'philosopher'], ['schwarzenegger', 'napoleon']]",./cache/BATS_3.0/3_Encyclopedic_semantics/E05 [name - occupation].txt,3,False
['shakespeare' 'playwright'],1,"[['wagner', 'marx'], ['wittgenstein', 'philosopher'], ['kingston', 'jamaica'], ['mozart', 'caesar']]",./cache/BATS_3.0/3_Encyclopedic_semantics/E05 [name - occupation].txt,3,False
['michelangelo' 'sculptor'],1,"[['kant', 'truman'], ['maxwell', 'physicist'], ['raccoon', 'kit'], ['darwin', 'hegel']]",./cache/BATS_3.0/3_Encyclopedic_semantics/E05 [name - occupation].txt,3,False
['darwin' 'naturalist'],0,"[['descartes', 'mathematician'], ['truman', 'american'], ['tolstoi', 'beethoven'], ['newton', 'raphael']]",./cache/BATS_3.0/3_Encyclopedic_semantics/E05 [name - occupation].txt,3,False
['wittgenstein' 'philosopher'],0,"[['andersen', 'writer'], ['newton', 'strauss'], ['rousseau', 'columbus'], ['chocolate', 'white']]",./cache/BATS_3.0/3_Encyclopedic_semantics/E05 [name - occupation].txt,3,False
['rembrandt' 'painter'],0,"[['einstein', 'physicist'], ['brussels', 'belgium'], ['darwin', 'dickens'], ['lincoln', 'spinoza']]",./cache/BATS_3.0/3_Encyclopedic_semantics/E05 [name - occupation].txt,3,False
['kepler' 'mathematician'],0,"[['strauss', 'composer'], ['rembrandt', 'moses'], ['stalin', 'michelangelo'], ['oslo', 'norway']]",./cache/BATS_3.0/3_Encyclopedic_semantics/E05 [name - occupation].txt,3,False
['strauss' 'composer'],3,"[['liverpool', 'lancashire'], ['darwin', 'napoleon'], ['pacino', 'dante'], ['schwarzenegger', 'actor']]",./cache/BATS_3.0/3_Encyclopedic_semantics/E05 [name - occupation].txt,3,True
['napoleon' 'emperor'],2,"[['darwin', 'marx'], ['hitler', 'hawking'], ['jolie', 'actress'], ['rome', 'italy']]",./cache/BATS_3.0/3_Encyclopedic_semantics/E05 [name - occupation].txt,3,False
['schwarzenegger' 'actor'],0,"[['hawking', 'physicist'], ['mencius', 'caesar'], ['tolstoi', 'picasso'], ['wolverhampton', 'midlands']]",./cache/BATS_3.0/3_Encyclopedic_semantics/E05 [name - occupation].txt,3,False
['edison' 'inventor'],2,"[['depp', 'hegel'], ['bat', 'cave'], ['michelangelo', 'sculptor'], ['pascal', 'spinoza']]",./cache/BATS_3.0/3_Encyclopedic_semantics/E05 [name - occupation].txt,3,False
['pascal' 'mathematician'],3,"[['tiger', 'den'], ['rousseau', 'confucius'], ['goethe', 'balzac'], ['hume', 'philosopher']]",./cache/BATS_3.0/3_Encyclopedic_semantics/E05 [name - occupation].txt,3,True
['mencius' 'philosopher'],0,"[['descartes', 'mathematician'], ['shakespeare', 'edison'], ['spider', 'web'], ['euler', 'caesar']]",./cache/BATS_3.0/3_Encyclopedic_semantics/E05 [name - occupation].txt,3,False
['hegel' 'philosopher'],0,"[['beethoven', 'composer'], ['hawking', 'english'], ['darwin', 'balzac'], ['newton', 'picasso']]",./cache/BATS_3.0/3_Encyclopedic_semantics/E05 [name - occupation].txt,3,False
['haydn' 'composer'],3,"[['maxwell', 'raphael'], ['pacino', 'napoleon'], ['sir', 'madam'], ['kant', 'philosopher']]",./cache/BATS_3.0/3_Encyclopedic_semantics/E05 [name - occupation].txt,3,True
['mozart' 'composer'],0,"[['plato', 'philosopher'], ['canberra', 'australia'], ['pascal', 'michelangelo'], ['rembrandt', 'wittgenstein']]",./cache/BATS_3.0/3_Encyclopedic_semantics/E05 [name - occupation].txt,3,False
['locke' 'philosopher'],0,"[['descartes', 'mathematician'], ['rembrandt', 'strauss'], ['peru', 'spanish'], ['rousseau', 'truman']]",./cache/BATS_3.0/3_Encyclopedic_semantics/E05 [name - occupation].txt,3,False
['lincoln' 'president'],1,"[['bear', 'growl'], ['spinoza', 'philosopher'], ['euler', 'napoleon'], ['newton', 'wittgenstein']]",./cache/BATS_3.0/3_Encyclopedic_semantics/E05 [name - occupation].txt,3,False
