stem,answer,choice,prefix,prediction,accuracy
['beauty' 'aesthete'],0,"[['pleasure', 'hedonist'], ['emotion', 'demagogue'], ['opinion', 'sympathizer'], ['seance', 'medium'], ['luxury', 'ascetic']]",190 FROM REAL SATs,0,True
['shove' 'nudge'],4,"[['vex', 'mutter'], ['calm', 'quell'], ['teach', 'lecture'], ['push', 'fight'], ['stare', 'glance']]",190 FROM REAL SATs,1,False
['reprehensible' 'condemn'],3,"[['torpid', 'rule'], ['innocent', 'judge'], ['depraved', 'admire'], ['estimable', 'praise'], ['worthy', 'parody']]",KS type: 16,2,False
['contemporaries' 'age'],0,"[['housemates', 'residence'], ['faculty', 'scholarship'], ['idols', 'worship'], ['kin', 'reunion'], ['authors', 'anthology']]",190 FROM REAL SATs,0,True
['disingenuous' 'craftiness'],4,"[['ecstatic', 'contentment'], ['idolatrous', 'doubt'], ['narcissistic', 'appearance'], ['penitent', 'wrongdoing'], ['surreptitious', 'stealth']]",190 FROM REAL SATs,4,True
['calculator' 'compute'],1,"[['plug', 'insert'], ['clamp', 'grip'], ['saddle', 'straddle'], ['bridge', 'suspend'], ['incinerator', 'warm']]",190 FROM REAL SATs,1,True
['lens' 'glass'],2,"[['well', 'water'], ['saw', 'wood'], ['sweater', 'wool'], ['fuel', 'fire'], ['ink', 'paper']]",190 FROM REAL SATs,4,False
['flowers' 'florist'],0,"[['rings', 'jeweler'], ['pharmacy', 'pharmacist'], ['roses', 'arrangement'], ['wedding', 'caterer'], ['stethoscope', 'doctor']]",KS type: 18,3,False
['puppeteer' 'marionette'],2,"[['teacher', 'textbook'], ['ballerina', 'leotard'], ['hypnotist', 'subject'], ['lawyer', 'criminal'], ['manager', 'baseball']]",ML: _One-on-one with the SATs_ (11) HARD,1,False
['berate' 'criticize'],0,"[['goad', 'urge'], ['accuse', 'apologize'], ['regret', 'remember'], ['betray', 'follow'], ['evaluate', 'praise']]",190 FROM REAL SATs,0,True
['abbreviation' 'word'],4,"[['laminate', 'layer'], ['inhibit', 'idea'], ['expedite', 'mail'], ['invoke', 'deity'], ['abridge', 'book']]",KS type: 52,4,True
['dodo' 'bird'],1,"[['horse', 'mule'], ['dinosaur', 'reptile'], ['venom', 'snake'], ['rooster', 'hen'], ['dog', 'puppy']]",190 FROM REAL SATs,1,True
['cooperation' 'collusion'],3,"[['evidence', 'proof'], ['achievement', 'reward'], ['damage', 'compensation'], ['imitation', 'forgery'], ['emotion', 'ecstasy']]",190 FROM REAL SATs,0,False
['decibel' 'sound'],3,"[['ingredient', 'food'], ['ruler', 'length'], ['calories', 'menu'], ['degree', 'temperature'], ['headphones', 'music']]",190 FROM REAL SATs,1,False
['insubordination' 'punishment'],3,"[['evening', 'night'], ['earthquake', 'tornado'], ['candor', 'falsehood'], ['heroism', 'praise'], ['fine', 'penalty']]",ML: http://www.appliedpractice.com/pdfs/Anal.%20and%20Sent.%20Comp.%20for%20S.%20L.pdf (2),2,False
['tunnel' 'mine'],4,"[['conduit', 'fluid'], ['corner', 'intersection'], ['sign', 'detour'], ['aisle', 'seat'], ['corridor', 'building']]",190 FROM REAL SATs,0,False
['antibiotic' 'infection'],4,"[['thermometer', 'fever'], ['anesthesia', 'surgery'], ['vaccine', 'inoculation'], ['antiseptic', 'alcohol'], ['antidote', 'poisoning']]",190 FROM REAL SATs,2,False
['asteroid' 'planet'],0,"[['quibble', 'objection'], ['gravel', 'sand'], ['mountain', 'hill'], ['wood', 'splinter'], ['radio', 'television']]",KS type: 58,0,True
