stem,answer,choice,prefix,prediction,accuracy
['story' 'building'],3,"[['crust', 'sandwich'], ['shingle', 'roof'], ['data', 'file'], ['layer', 'cake'], ['root', 'plant']]",2,1,False
['architect' 'blueprint'],4,"[['instructor', 'blackboard'], ['graduate', 'diploma'], ['musician', 'note'], ['painter', 'brush'], ['composer', 'score']]",2,4,True
['callow' 'experience'],2,"[['painting', 'artist'], ['heavy', 'weight'], ['barren', 'fruit'], ['gift', 'donor'], ['measure', 'ounce']]",2,0,False
['embargo' 'trade'],4,"[['umbrella', 'clouds'], ['engine', 'automobile'], ['license', 'fishing'], ['alarm', 'valuable'], ['helmet', 'injury']]",2,2,False
['building' 'blueprint'],0,"[['report', 'outline'], ['chicken', 'egg'], ['brick', 'wall'], ['soup', 'ladle'], ['conduit', 'cement']]",2,3,False
['emend' 'faulty'],3,"[['recruit', 'competent'], ['fracture', 'separable'], ['renovate', 'habitable'], ['purify', 'contaminated'], ['reproduce', 'copied']]",2,3,True
['asteroid' 'planet'],0,"[['quibble', 'objection'], ['gravel', 'sand'], ['mountain', 'hill'], ['wood', 'splinter'], ['radio', 'television']]",2,1,False
['map' 'navigate'],3,"[['manuscript', 'submit'], ['license', 'revoke'], ['writing', 'erase'], ['blueprint', 'build'], ['receipt', 'pay']]",2,3,True
['epilogue' 'book'],4,"[['sequel', 'movie'], ['conclusion', 'title'], ['tiff', 'quarrel'], ['intermission', 'play'], ['finale', 'symphony']]",2,3,False
['raucous' 'sound'],3,"[['dim', 'light'], ['noisy', 'uproar'], ['tanned', 'leather'], ['rough', 'texture'], ['hard', 'granite']]",2,2,False
['eraser' 'page'],0,"[['mop', 'floor'], ['sponge', 'soap'], ['pen', 'ink'], ['nail', 'wall'], ['bleach', 'stain']]",2,0,True
['levee' 'flood'],2,"[['snow', 'avalanche'], ['rain', 'deluge'], ['immunization', 'disease'], ['zenith', 'view'], ['buttress', 'building']]",2,3,False
['quack' 'doctor'],1,"[['charlatan', 'impostor'], ['pretender', 'monarch'], ['defendant', 'prosecutor'], ['arbitrator', 'judge'], ['professional', 'amateur']]",2,0,False
['floral' 'flowers'],2,"[['perennial', 'plants'], ['morbid', 'cemeteries'], ['emotional', 'feelings'], ['moral', 'stories'], ['maniacal', 'men']]",2,1,False
['decibel' 'sound'],3,"[['ingredient', 'food'], ['ruler', 'length'], ['calories', 'menu'], ['degree', 'temperature'], ['headphones', 'music']]",2,4,False
['amalgam' 'metals'],2,"[['fracture', 'bones'], ['divorce', 'marriages'], ['coalition', 'factions'], ['car', 'payments'], ['convention', 'speeches']]",2,0,False
['emulate' 'person'],3,"[['admire', 'reputation'], ['obey', 'leader'], ['cooperate', 'partner'], ['mimic', 'gesture'], ['mock', 'sarcasm']]",2,4,False
['format' 'newspaper'],1,"[['binding', 'book'], ['design', 'building'], ['direction', 'sign'], ['market', 'commodity'], ['catalogue', 'library']]",2,1,True
['feign' 'deceive'],0,"[['flee', 'elude'], ['dangle', 'drop'], ['send', 'receive'], ['contract', 'lengthen'], ['publish', 'write']]",2,0,True
['flap' 'wing'],1,"[['speak', 'sound'], ['wave', 'hand'], ['whisper', 'word'], ['stub', 'toe'], ['sing', 'bird']]",2,4,False
['remuneration' 'labor'],3,"[['gratuity', 'bonus'], ['apology', 'regret'], ['pledge', 'donation'], ['trophy', 'victory'], ['debt', 'loan']]",2,0,False
['sequester' 'juror'],0,"[['quarantine', 'patient'], ['cloister', 'convent'], ['parole', 'prisoner'], ['graduate', 'pupil'], ['elect', 'mayor']]",2,2,False
['petal' 'flower'],3,"[['oak', 'tree'], ['staple', 'paper'], ['sprout', 'seed'], ['tooth', 'comb'], ['tide', 'beach']]",2,2,False
['saunter' 'walk'],1,"[['snore', 'sleep'], ['drawl', 'speak'], ['throw', 'toss'], ['ladle', 'brush'], ['finish', 'end']]",2,1,True
['seed' 'plant'],4,"[['pouch', 'kangaroo'], ['root', 'soil'], ['drop', 'water'], ['bark', 'tree'], ['egg', 'bird']]",2,3,False
['cooperation' 'collusion'],3,"[['evidence', 'proof'], ['achievement', 'reward'], ['damage', 'compensation'], ['imitation', 'forgery'], ['emotion', 'ecstasy']]",2,3,True
['lame' 'mobility'],2,"[['lively', 'energy'], ['hostile', 'enemy'], ['hoarse', 'speech'], ['fractured', 'cast'], ['walk', 'transportation']]",2,2,True
['mechanical' 'garage'],4,"[['artist', 'canvas'], ['administrator', 'personnel'], ['teller', 'window'], ['teacher', 'information'], ['nurse', 'hospital']]",2,2,False
['lobbyist' 'cause'],2,"[['legislator', 'voter'], ['clergy', 'congregation'], ['advertiser', 'product'], ['defendant', 'verdict'], ['consumer', 'goods']]",2,2,True
['birds' 'wings'],2,"[['moose', 'antlers'], ['camel', 'hump'], ['spider', 'legs'], ['alligator', 'tail'], ['cat', 'whiskers']]",2,0,False
['border' 'country'],4,"[['current', 'river'], ['water', 'lake'], ['waves', 'sea'], ['horizon', 'sunset'], ['shore', 'ocean']]",2,1,False
