stem,answer,choice,prefix,prediction,accuracy
['Acura' 'Denver'],3,"[['Mitt Romney', 'Mccain'], ['Volkswagen', 'Canada'], ['Houston', 'Chevrolet'], ['Chevrolet', 'Houston'], ['Explorer', 'Microsoft'], ['Nebraska', 'Republican'], ['Cowboys 19 13', 'Dave Campo']]",concept:automobilemakerdealersincity,3,True
['Nissan' 'Indianapolis'],4,"[['Mass', 'Edward J Markey'], ['Ucla', 'Ben Howland'], ['Itunes', 'Apple'], ['Dodge', 'Germany'], ['Chevrolet', 'Philadelphia'], ['Bush', 'Santorum'], ['Philadelphia', 'Chevrolet']]",concept:automobilemakerdealersincity,4,True
['Kia' 'Mission'],5,"[['Think', 'UK'], ['Spain', 'Javier Bardem'], ['Naperville', 'Acura'], ['Hillary', 'Clinton'], ['Expedition', 'Ford'], ['Acura', 'Naperville'], ['Boston Bruins', 'Claude Julien']]",concept:automobilemakerdealersincity,3,False
['Nissan' 'Tyler'],0,"[['Chevrolet', 'Louisville'], ['Hyundai', 'UK'], ['Milwaukee', 'Tom Barrett'], ['Cleveland Browns', 'Paul Brown'], ['Super Duty F 450 Drw', 'Ford'], ['Clinton', 'President George H Bush'], ['Louisville', 'Chevrolet']]",concept:automobilemakerdealersincity,0,True
['Lexus' 'Dallas'],4,"[['Ford Fusion', 'Honda'], ['Dick Cheney', 'Mccain'], ['Arkansas Razorbacks', 'Nolan Richardson'], ['Philadelphia', 'Michael Nutter'], ['Dodge', 'Milwaukee'], ['Mazda', 'America'], ['Milwaukee', 'Dodge']]",concept:automobilemakerdealersincity,4,True
['Lexus' 'Dallas'],3,"[['White Sox', 'Jermaine Dye'], ['Mexico', 'Goffredo Marcaccini'], ['Boulder Colorado', 'Acura'], ['Acura', 'Boulder Colorado'], ['Pdf File', 'Microsoft'], ['Rover', 'UK'], ['Sarah Palin', 'Presidential Candidate John Mccain']]",concept:automobilemakerdealersincity,3,True
['Cadillac' 'Austin'],4,"[['Lamborghini', 'UK'], ['Nissan Versa', 'Ford'], ['San Francisco', 'Honda'], ['Concord', 'Rose'], ['Honda', 'San Francisco'], ['President George W Bush', 'Dick Cheney'], ['New York Giants', 'Drew Bledsoe']]",concept:automobilemakerdealersincity,4,True
['Kia' 'Lubbock'],3,"[['Versa', 'Nissan'], ['Utah State', 'Brent Guy'], ['John Mccain', 'Gov Sarah Palin'], ['Honda', 'Kansas City'], ['U S', 'Barack Obama'], ['Kansas City', 'Honda'], ['Dacia', 'UK']]",concept:automobilemakerdealersincity,3,True
['Acura' 'Hoffman Estates'],2,"[['Palin', 'Republican Presidential Nominee John Mccain'], ['Volkswagen Passat', 'Honda'], ['Cadillac', 'Austin'], ['Seattle Seahawks 21 10', 'Mike Holmgren'], ['North Carolina', 'Jesse Helms'], ['Opel', 'UK'], ['Austin', 'Cadillac']]",concept:automobilemakerdealersincity,2,True
['Kia' 'Midland'],2,"[['Weber', 'Acura'], ['Red Wings', 'Mike Babcock'], ['Acura', 'Weber'], ['Ms Outlook', 'Microsoft'], ['Land Rover', 'UK'], ['Senator John Mccain', 'Palin'], ['Kansas', 'Republican']]",concept:automobilemakerdealersincity,2,True
['Kia' 'Lubbock'],5,"[['Los Angeles Ca', 'Daewoo'], ['Ranchero', 'Ford'], ['Land Rover', 'Canada'], ['Boston College', 'Tom O Brien'], ['London', 'Boris Johnson'], ['Daewoo', 'Los Angeles Ca'], ['Gloria Steinem', 'Clinton']]",concept:automobilemakerdealersincity,4,False
['Acura' 'Mississippi'],1,"[['Denver', 'Chevrolet'], ['Chevrolet', 'Denver'], ['Mini', 'UK'], ['Toyota Camry', 'Toyota'], ['Former San Francisco Giants', 'Gary Carter'], ['Mccain', 'Barrack Obama'], ['Alabama', 'Republican']]",concept:automobilemakerdealersincity,1,True
['Acura' 'Bozeman'],2,"[['Cowboys 19 13', 'Dave Campo'], ['Kansas City', 'Honda'], ['Honda', 'Kansas City'], ['Acrobat Reader', 'Microsoft'], ['President Elect Obama', 'Clinton'], ['Mini', 'UK'], ['Virginia', 'Republican']]",concept:automobilemakerdealersincity,2,True
['Kia' 'Austin'],1,"[['Havana', 'Fidel'], ['Nissan', 'Miami Florida'], ['Volkswagen Golf', 'Volkswagen'], ['Gore', 'Former President Bill Clinton'], ['Miami Florida', 'Nissan'], ['New York Mets', 'Mike Pelfrey'], ['Suzuki', 'UK']]",concept:automobilemakerdealersincity,2,False
['Acura' 'Boulder Colorado'],6,"[['Georgia Tech', 'Paul Johnson'], ['Lotus', 'UK'], ['Nebraska', 'Republican'], ['Tulsa', 'Honda'], ['Playstation 3', 'Sony'], ['Clinton', 'Jesse Jackson'], ['Honda', 'Tulsa']]",concept:automobilemakerdealersincity,6,True
['Nissan' 'Amarillo'],5,"[['Tampa Bay Bucs', 'Jon Gruden'], ['Hyundai', 'UK'], ['Zambian', 'Levy Mwanawasa'], ['Pinto', 'Ford'], ['Richard Nixon', 'Kennedy'], ['Chevrolet', 'Indianapolis'], ['Indianapolis', 'Chevrolet']]",concept:automobilemakerdealersincity,5,True
['Dodge' 'San Diego'],1,"[['George W Bush', 'Gore'], ['Chevrolet', 'Dallas'], ['Dallas', 'Chevrolet'], ['Stanford', 'David Carr'], ['Explorer Sport', 'Ford'], ['Florida', 'Charlie Crist'], ['Mitsubishi', 'Canada']]",concept:automobilemakerdealersincity,1,True
['Acura' 'Lancaster'],1,"[['Front Page', 'Microsoft'], ['Honda', 'Phoenix'], ['Phoenix', 'Honda'], ['Chicago Cardinals', 'Mike Schmidt'], ['Maserati', 'Canada'], ['Georgia', 'Republican'], ['Former President Bill Clinton', 'Clinton']]",concept:automobilemakerdealersincity,1,True
