,source,true,pred,accuracy,similarity,similarity_true
0,"['solar system', 'sun', 'planet', 'mass', 'attracts', 'revolves', 'gravity']","['atom', 'nucleus', 'electron', 'charge', 'attracts', 'revolves', 'electromagnetism']","('electromagnetism', 'electron', 'nucleus', 'atom', 'attracts', 'revolves', 'charge')",False,0.35810252802654374,0.2648871678828033
1,"['water', 'flows', 'pressure', 'water tower', 'bucket', 'filling', 'emptying', 'hydrodynamics']","['heat', 'transfers', 'temperature', 'burner', 'kettle', 'heating', 'cooling', 'thermodynamics']","('heat', 'transfers', 'temperature', 'heating', 'kettle', 'cooling', 'burner', 'thermodynamics')",False,0.22613916294342104,0.20841343287837474
2,"['waves', 'shore', 'reflects', 'water', 'breakwater', 'rough', 'calm', 'crashing']","['sounds', 'wall', 'echoes', 'air', 'insulation', 'loud', 'quiet', 'vibrating']","('sounds', 'wall', 'echoes', 'air', 'insulation', 'loud', 'quiet', 'vibrating')",True,0.32331516902060836,0.32331516902060836
3,"['combustion', 'fire', 'fuel', 'burning', 'hot', 'intense', 'oxygen', 'carbon dioxide']","['respiration', 'animal', 'food', 'breathing', 'living', 'vigorous', 'oxygen', 'carbon dioxide']","('respiration', 'living', 'food', 'breathing', 'animal', 'vigorous', 'oxygen', 'carbon dioxide')",False,0.3928710238933112,0.38896601745077114
4,"['sound', 'low', 'high', 'echoes', 'loud', 'quiet', 'horn']","['light', 'red', 'violet', 'reflects', 'bright', 'dim', 'lens']","('lens', 'dim', 'violet', 'reflects', 'bright', 'light', 'red')",False,0.1927543967846287,0.16650354706578993
5,"['projectile', 'trajectory', 'earth', 'parabolic', 'air', 'gravity', 'attracts']","['planet', 'orbit', 'sun', 'elliptical', 'space', 'gravity', 'attracts']","('space', 'orbit', 'planet', 'elliptical', 'sun', 'gravity', 'attracts')",False,0.4299640668020545,0.38642337623441536
6,"['breeds', 'selection', 'conformance', 'artificial', 'popularity', 'breeding', 'domesticated']","['species', 'competition', 'adaptation', 'natural', 'fitness', 'mating', 'wild']","('species', 'adaptation', 'fitness', 'natural', 'competition', 'mating', 'wild')",False,0.2826927094039843,0.261202190167682
7,"['ball', 'billiards', 'speed', 'table', 'bouncing', 'moving', 'slow', 'fast']","['molecules', 'gas', 'temperature', 'container', 'pressing', 'moving', 'cold', 'hot']","('gas', 'molecules', 'temperature', 'container', 'pressing', 'moving', 'cold', 'hot')",False,0.2983558273467431,0.24187719110469671
8,"['computer', 'processing', 'erasing', 'write', 'read', 'memory', 'outputs', 'inputs', 'bug']","['mind', 'thinking', 'forgetting', 'memorize', 'remember', 'memory', 'muscles', 'senses', 'mistake']","('mind', 'thinking', 'forgetting', 'memorize', 'remember', 'memory', 'muscles', 'senses', 'mistake')",True,0.30042137509730443,0.30042137509730443
9,"['slot machines', 'reels', 'spinning', 'winning', 'losing']","['bacteria', 'genes', 'mutating', 'reproducing', 'dying']","('bacteria', 'genes', 'mutating', 'reproducing', 'dying')",True,0.2046091019496581,0.2046091019496581
10,"['war', 'soldier', 'destroy', 'fighting', 'defeat', 'attacks', 'weapon']","['argument', 'debater', 'refute', 'arguing', 'acceptance', 'criticizes', 'logic']","('argument', 'debater', 'refute', 'arguing', 'acceptance', 'criticizes', 'logic')",True,0.1974449859321392,0.1974449859321392
11,"['buyer', 'merchandise', 'buying', 'selling', 'returning', 'valuable', 'worthless']","['believer', 'belief', 'accepting', 'advocating', 'rejecting', 'true', 'false']","('believer', 'belief', 'rejecting', 'advocating', 'accepting', 'true', 'false')",False,0.1920432344625238,0.17924410697881135
12,"['foundations', 'buildings', 'supporting', 'solid', 'weak', 'crack']","['reasons', 'theories', 'confirming', 'rational', 'dubious', 'flaw']","('theories', 'reasons', 'confirming', 'rational', 'dubious', 'flaw')",False,0.25077869255794033,0.2155366156693377
13,"['obstructions', 'destination', 'route', 'traveller', 'traveling', 'companion', 'arriving']","['difficulties', 'goal', 'plan', 'person', 'problem solving', 'partner', 'succeeding']","('difficulties', 'goal', 'plan', 'person', 'problem solving', 'partner', 'succeeding')",True,0.27935385681556246,0.27935385681556246
14,"['money', 'allocate', 'budget', 'effective', 'cheap', 'expansive']","['time', 'invest', 'schedule', 'efficient', 'quick', 'slow']","('time', 'invest', 'schedule', 'efficient', 'quick', 'slow')",True,0.30994102259592643,0.30994102259592643
15,"['seeds', 'planted', 'fruitful', 'fruit', 'grow', 'wither', 'blossom']","['ideas', 'inspired', 'productive', 'product', 'develop', 'fail', 'succeed']","('ideas', 'inspired', 'productive', 'product', 'develop', 'fail', 'succeed')",True,0.2874609035328017,0.2874609035328017
16,"['machine', 'working', 'turned on', 'turned off', 'broken', 'power', 'repair']","['mind', 'thinking', 'awake', 'asleep', 'confused', 'intelligence', 'therapy']","('mind', 'awake', 'confused', 'thinking', 'asleep', 'intelligence', 'therapy')",False,0.15418383182061218,0.13628520662255625
17,"['object', 'hold', 'weight', 'heavy', 'light']","['idea', 'understand', 'analyze', 'important', 'trivial']","('idea', 'analyze', 'understand', 'trivial', 'important')",False,0.14821118527476146,0.05569649939506377
18,"['follow', 'leader', 'path', 'follower', 'lost', 'wanders', 'twisted', 'straight']","['understand', 'speaker', 'argument', 'listener', 'misunderstood', 'digresses', 'complicated', 'simple']","('understand', 'speaker', 'argument', 'listener', 'misunderstood', 'digresses', 'complicated', 'simple')",True,0.25675812704184825,0.25675812704184825
19,"['seeing', 'light', 'illuminating', 'darkness', 'view', 'hidden']","['understanding', 'knowledge', 'explaining', 'confusion', 'interpretation', 'secret']","('explaining', 'knowledge', 'understanding', 'confusion', 'interpretation', 'secret')",False,0.2856760836888213,0.24145822145854973
