stem,answer,choice,prefix,prediction,accuracy
['hitler' 'dictator'],0,"[['strauss', 'composer'], ['kepler', 'hegel'], ['wagner', 'beethoven'], ['ecuador', 'spanish']]",./cache/BATS_3.0/3_Encyclopedic_semantics/E05 [name - occupation].txt,2,False
['rousseau' 'writer'],3,"[['cattle', 'calf'], ['edison', 'hawking'], ['rembrandt', 'picasso'], ['hegel', 'philosopher']]",./cache/BATS_3.0/3_Encyclopedic_semantics/E05 [name - occupation].txt,2,False
['kant' 'philosopher'],0,"[['lincoln', 'president'], ['darwin', 'dickens'], ['cattle', 'calf'], ['maxwell', 'balzac']]",./cache/BATS_3.0/3_Encyclopedic_semantics/E05 [name - occupation].txt,0,True
['stalin' 'dictator'],1,"[['hegel', 'german'], ['hawking', 'physicist'], ['tolstoi', 'wittgenstein'], ['pascal', 'confucius']]",./cache/BATS_3.0/3_Encyclopedic_semantics/E05 [name - occupation].txt,2,False
['descartes' 'mathematician'],0,"[['dante', 'poet'], ['rousseau', 'einstein'], ['mencius', 'spinoza'], ['beijing', 'china']]",./cache/BATS_3.0/3_Encyclopedic_semantics/E05 [name - occupation].txt,0,True
['spinoza' 'philosopher'],3,"[['darwin', 'napoleon'], ['monkey', 'infant'], ['maxwell', 'einstein'], ['shakespeare', 'playwright']]",./cache/BATS_3.0/3_Encyclopedic_semantics/E05 [name - occupation].txt,3,True
['truman' 'president'],3,"[['bee', 'buzz'], ['euler', 'beethoven'], ['rembrandt', 'confucius'], ['hawking', 'physicist']]",./cache/BATS_3.0/3_Encyclopedic_semantics/E05 [name - occupation].txt,3,True
['beethoven' 'composer'],3,"[['god', 'goddess'], ['rembrandt', 'napoleon'], ['pascal', 'jolie'], ['columbus', 'explorer']]",./cache/BATS_3.0/3_Encyclopedic_semantics/E05 [name - occupation].txt,1,False
['hume' 'philosopher'],2,"[['andersen', 'picasso'], ['hitler', 'balzac'], ['shakespeare', 'playwright'], ['switzerland', 'german']]",./cache/BATS_3.0/3_Encyclopedic_semantics/E05 [name - occupation].txt,2,True
['tolstoi' 'novelist'],1,"[['maxwell', 'descartes'], ['confucius', 'philosopher'], ['pascal', 'michelangelo'], ['chichester', 'sussex']]",./cache/BATS_3.0/3_Encyclopedic_semantics/E05 [name - occupation].txt,1,True
['newton' 'scientist'],1,"[['fox', 'howl'], ['caesar', 'emperor'], ['aristotle', 'raphael'], ['andersen', 'wittgenstein']]",./cache/BATS_3.0/3_Encyclopedic_semantics/E05 [name - occupation].txt,1,True
['confucius' 'philosopher'],3,"[['pascal', 'hawking'], ['headmaster', 'headmistress'], ['goethe', 'beethoven'], ['edison', 'inventor']]",./cache/BATS_3.0/3_Encyclopedic_semantics/E05 [name - occupation].txt,3,True
['einstein' 'physicist'],2,"[['bee', 'larva'], ['schwarzenegger', 'napoleon'], ['pascal', 'mathematician'], ['locke', 'confucius']]",./cache/BATS_3.0/3_Encyclopedic_semantics/E05 [name - occupation].txt,2,True
['hawking' 'physicist'],2,"[['blood', 'red'], ['andersen', 'beethoven'], ['pacino', 'actor'], ['lincoln', 'balzac']]",./cache/BATS_3.0/3_Encyclopedic_semantics/E05 [name - occupation].txt,1,False
['moses' 'prophet'],1,"[['kepler', 'confucius'], ['shakespeare', 'playwright'], ['euler', 'wittgenstein'], ['cockroach', 'nest']]",./cache/BATS_3.0/3_Encyclopedic_semantics/E05 [name - occupation].txt,1,True
['wagner' 'composer'],0,"[['michelangelo', 'sculptor'], ['tolstoi', 'descartes'], ['strauss', 'austrian'], ['kant', 'spinoza']]",./cache/BATS_3.0/3_Encyclopedic_semantics/E05 [name - occupation].txt,0,True
